method,mean_l2,std_l2,mean_linf,std_linf
Ours,0.52767014503479,0.1657259315252304,1.6049777269363403,0.4586330056190491
LI,0.6769508719444275,0.1842748522758484,1.9893155097961426,0.5425583124160767
baseline_64x64,1.2218793630599976,0.19251026213169098,3.1472198963165283,0.5502963662147522
baseline_128x128,1.0986453294754028,0.1771911382675171,2.940587043762207,0.557783842086792
baseline_256x256,0.9182836413383484,0.17053289711475372,2.5320427417755127,0.5547606348991394
baseline_512x512,0.7460147738456726,0.18904195725917816,2.1393303871154785,0.5364594459533691
baseline_1024x1024,0.4994979798793793,0.17439284920692444,1.581872820854187,0.5216889977455139
baseline_2048x2048,0.0,0.0,0.0,0.0
