time_rel,quantity,method,corner,loss_mean,loss_std,loss_median,loss_p95,n_traj
0.1,CornerVorticityAbsL2Loss,FNO,BL,0.0010506212963567426,0.00042287196186317533,0.0010182138066738844,0.0019476953020785,30
0.2,CornerVorticityAbsL2Loss,FNO,BL,0.001107584288304982,0.00045029363017286234,0.0010228807805106044,0.0020148538693319997,30
0.30000000000000004,CornerVorticityAbsL2Loss,FNO,BL,0.001143046257008488,0.00047124571990541514,0.0009784190624486655,0.002015910006593912,30
0.4,CornerVorticityAbsL2Loss,FNO,BL,0.0011637038279635212,0.0005012436589728842,0.0009788484312593937,0.0021263784961774936,30
0.5,CornerVorticityAbsL2Loss,FNO,BL,0.0011903012384815762,0.0005321861177239616,0.0009631146676838398,0.0022660134476609525,30
0.6000000000000001,CornerVorticityAbsL2Loss,FNO,BL,0.0012067891560339679,0.0005641859938819575,0.0009638831252232194,0.0022855621529743074,30
0.7000000000000001,CornerVorticityAbsL2Loss,FNO,BL,0.001210262380967227,0.0005755836078824688,0.0009640726784709841,0.0022527850698679675,30
0.8,CornerVorticityAbsL2Loss,FNO,BL,0.0012236030015628785,0.0005979829050395784,0.0009568216337356716,0.0023871574434451747,30
0.9,CornerVorticityAbsL2Loss,FNO,BL,0.001243993041377204,0.0006306282662105303,0.0009942784090526402,0.002628487150650471,30
1.0,CornerVorticityAbsL2Loss,FNO,BL,0.0012649443369203558,0.0006604150474311596,0.0010133004398085177,0.00268751080147922,30
1.1,CornerVorticityAbsL2Loss,FNO,BL,0.0012808899424271657,0.0006760486520075035,0.0010482112993486226,0.0025357451871968802,30
1.2000000000000002,CornerVorticityAbsL2Loss,FNO,BL,0.0013122200092766435,0.0007033658021326828,0.001099569781217724,0.002510235144291073,30
1.3,CornerVorticityAbsL2Loss,FNO,BL,0.0013248834623179088,0.0007370996534825945,0.0010770205990411341,0.0025469923857599497,30
1.4000000000000001,CornerVorticityAbsL2Loss,FNO,BL,0.001352596357658816,0.00076675821374299,0.001085228577721864,0.002634756313636899,30
1.5,CornerVorticityAbsL2Loss,FNO,BL,0.0013843561998025204,0.0008045332266751835,0.0011718481546267867,0.002674306754488498,30
1.6,CornerVorticityAbsL2Loss,FNO,BL,0.0014081593079026788,0.0008289065037848537,0.0011572038056328893,0.0028260553488507864,30
1.7000000000000002,CornerVorticityAbsL2Loss,FNO,BL,0.0014183310830655196,0.0008276599855313829,0.0011586243635974824,0.002982968918513506,30
