time_rel,quantity,method,corner,value_mean,value_std,n_traj
0.1,CornerVorticityReferenceL2Norm,ref,BL,0.16226904193560282,0.05043876849586111,30
0.2,CornerVorticityReferenceL2Norm,ref,BL,0.16223525131742159,0.050327500208118346,30
0.30000000000000004,CornerVorticityReferenceL2Norm,ref,BL,0.16215108409523965,0.050179813120173666,30
0.4,CornerVorticityReferenceL2Norm,ref,BL,0.16201141277949016,0.05001443816737233,30
0.5,CornerVorticityReferenceL2Norm,ref,BL,0.16183942879239718,0.04985690093619341,30
0.6000000000000001,CornerVorticityReferenceL2Norm,ref,BL,0.16168133194247883,0.04973431089521919,30
0.7000000000000001,CornerVorticityReferenceL2Norm,ref,BL,0.16158465569218,0.04966998719751473,30
0.8,CornerVorticityReferenceL2Norm,ref,BL,0.16157328858971595,0.04967678942318845,30
0.9,CornerVorticityReferenceL2Norm,ref,BL,0.16163425917426746,0.04974898675504119,30
1.0,CornerVorticityReferenceL2Norm,ref,BL,0.16172464738289516,0.04985923212478913,30
1.1,CornerVorticityReferenceL2Norm,ref,BL,0.16179553295175234,0.049968497100822434,30
1.2000000000000002,CornerVorticityReferenceL2Norm,ref,BL,0.16181621129314105,0.050043096791519075,30
1.3,CornerVorticityReferenceL2Norm,ref,BL,0.16178194334109625,0.050064725707364775,30
1.4000000000000001,CornerVorticityReferenceL2Norm,ref,BL,0.16170491551359495,0.05003042544152273,30
1.5,CornerVorticityReferenceL2Norm,ref,BL,0.16160070175925892,0.04994994809658732,30
1.6,CornerVorticityReferenceL2Norm,ref,BL,0.1614809478322665,0.049843965493721665,30
1.7000000000000002,CornerVorticityReferenceL2Norm,ref,BL,0.16135417371988298,0.04974028490245942,30
1.8,CornerVorticityReferenceL2Norm,ref,BL,0.16122958759466807,0.04966668455097988,30
1.9000000000000001,CornerVorticityReferenceL2Norm,ref,BL,0.16111791953444482,0.049642848322299135,30
2.0,CornerVorticityReferenceL2Norm,ref,BL,0.1610275126993656,0.04967385814003758,30
2.1,CornerVorticityReferenceL2Norm,ref,BL,0.16095934982101123,0.049747563594888224,30
2.2,CornerVorticityReferenceL2Norm,ref,BL,0.16090673357248306,0.04983827975586961,30
2.3000000000000003,CornerVorticityReferenceL2Norm,ref,BL,0.16086152742306392,0.04991613018919595,30
2.4000000000000004,CornerVorticityReferenceL2Norm,ref,BL,0.16082233414053917,0.04995724741005528,30
2.5,CornerVorticityReferenceL2Norm,ref,BL,0.16079729720950126,0.04995058950080467,30
2.6,CornerVorticityReferenceL2Norm,ref,BL,0.1607988936205705,0.04990089359291823,30
2.7,CornerVorticityReferenceL2Norm,ref,BL,0.16083529541889827,0.04982795491279442,30
2.8000000000000003,CornerVorticityReferenceL2Norm,ref,BL,0.16090510686238607,0.04976130192974668,30
2.9000000000000004,CornerVorticityReferenceL2Norm,ref,BL,0.16099916895230612,0.049730086831158433,30
3.0,CornerVorticityReferenceL2Norm,ref,BL,0.1611074651281039,0.049752054180723836,30
3.1,CornerVorticityReferenceL2Norm,ref,BL,0.16122446979085606,0.049826923686045764,30
3.2,CornerVorticityReferenceL2Norm,ref,BL,0.16134840125838915,0.04993529870808542,30
3.3000000000000003,CornerVorticityReferenceL2Norm,ref,BL,0.16147602076331774,0.05004245136600523,30
3.4000000000000004,CornerVorticityReferenceL2Norm,ref,BL,0.16159769420822462,0.0501093399180884,30
3.5,CornerVorticityReferenceL2Norm,ref,BL,0.16169755384325982,0.050109599791862025,30
3.6,CornerVorticityReferenceL2Norm,ref,BL,0.16176073427001636,0.05004079862967498,30
3.7,CornerVorticityReferenceL2Norm,ref,BL,0.16178274899721146,0.04992047526884334,30
3.8000000000000003,CornerVorticityReferenceL2Norm,ref,BL,0.1617723231514295,0.04977195629136089,30
3.9000000000000004,CornerVorticityReferenceL2Norm,ref,BL,0.16174569552143414,0.04961263011321491,30
4.0,CornerVorticityReferenceL2Norm,ref,BL,0.1617187405625979,0.04945329547564894,30
4.1000000000000005,CornerVorticityReferenceL2Norm,ref,BL,0.16170211434364318,0.04930663803934849,30
4.2,CornerVorticityReferenceL2Norm,ref,BL,0.1617000641922156,0.04919403268500263,30
4.3,CornerVorticityReferenceL2Norm,ref,BL,0.1617131143808365,0.04914169347493145,30
4.4,CornerVorticityReferenceL2Norm,ref,BL,0.16174300784866016,0.049167845307195514,30
4.5,CornerVorticityReferenceL2Norm,ref,BL,0.16179449285070102,0.04927037917552463,30
4.6000000000000005,CornerVorticityReferenceL2Norm,ref,BL,0.16187117472290993,0.04942380386492731,30
4.7,CornerVorticityReferenceL2Norm,ref,BL,0.16196941485007604,0.04958839570606082,30
4.800000000000001,CornerVorticityReferenceL2Norm,ref,BL,0.1620755779246489,0.049726241570843994,30
4.9,CornerVorticityReferenceL2Norm,ref,BL,0.16216903751095135,0.049814648899140716,30
5.0,CornerVorticityReferenceL2Norm,ref,BL,0.16223036274313926,0.04985079968595726,30
5.1000000000000005,CornerVorticityReferenceL2Norm,ref,BL,0.1622512698173523,0.049848302151250544,30
5.2,CornerVorticityReferenceL2Norm,ref,BL,0.16224065621693928,0.049829791599456205,30
5.300000000000001,CornerVorticityReferenceL2Norm,ref,BL,0.16222151269515356,0.04981984181029073,30
5.4,CornerVorticityReferenceL2Norm,ref,BL,0.1622194061676661,0.04984052352059761,30
5.5,CornerVorticityReferenceL2Norm,ref,BL,0.16225005959471067,0.04990791523699754,30
5.6000000000000005,CornerVorticityReferenceL2Norm,ref,BL,0.16231393416722614,0.050026994947130414,30
5.7,CornerVorticityReferenceL2Norm,ref,BL,0.16239976212382318,0.05018692771507277,30
