nu,Method,L1_mean,L1_std,L1_min,L1_max,L1_median,Linf_mean,Linf_std,Linf_min,Linf_max,Linf_median,E_SG_T4_mean,E_SG_T4_std,E_SG_T4_min,E_SG_T4_max,E_SG_T4_median,E_mean_max_0_4_mean,E_mean_max_0_4_std,E_mean_max_0_4_min,E_mean_max_0_4_max,E_mean_max_0_4_median,E_mean_final_T4_mean,E_mean_final_T4_std,E_mean_final_T4_min,E_mean_final_T4_max,E_mean_final_T4_median,E_mean_argmax_time_mean,E_mean_argmax_time_std,E_mean_argmax_time_min,E_mean_argmax_time_max,E_mean_argmax_time_median,SG_points_mean,SG_points_std,SG_points_min,SG_points_max,SG_points_median,SG_fraction_mean,SG_fraction_std,SG_fraction_min,SG_fraction_max,SG_fraction_median,SG_threshold_mean,SG_threshold_std,SG_threshold_min,SG_threshold_max,SG_threshold_median,final_abs_error_p95_mean,final_abs_error_p95_std,final_abs_error_p95_min,final_abs_error_p95_max,final_abs_error_p95_median,final_abs_error_p99_mean,final_abs_error_p99_std,final_abs_error_p99_min,final_abs_error_p99_max,final_abs_error_p99_median,Time_mean,Time_std,Time_min,Time_max,Time_median,N_native_mean,N_native_std,N_native_min,N_native_max,N_native_median,N_eval_mean,N_eval_std,N_eval_min,N_eval_max,N_eval_median,native_substeps_mean,native_substeps_std,native_substeps_min,native_substeps_max,native_substeps_median,traditional_substeps_mean,traditional_substeps_std,traditional_substeps_min,traditional_substeps_max,traditional_substeps_median,nn_substeps_mean,nn_substeps_std,nn_substeps_min,nn_substeps_max,nn_substeps_median,RefTime_mean,RefTime_std,RefTime_min,RefTime_max,RefTime_median
0.0,FVM (1000),0.004333608276210725,0.0010197134737971027,0.0019044976215809584,0.006160761695355177,0.0043085801880806684,0.13491838067770004,0.05134513545471646,0.039396703243255615,0.2258373498916626,0.1288331300020218,0.07378253221511841,0.03735595772761784,0.014766305685043335,0.16262167692184448,0.07184680923819542,2.5564908912656394e-06,1.650022648753839e-06,4.673004241340095e-07,7.743835340079386e-06,2.1457672119140625e-06,2.464830863999623e-06,1.7217786619303689e-06,1.0490418134168067e-07,7.734298378636595e-06,2.069473225674301e-06,3.78144,0.4249168062631766,2.416,4.0,3.984,3.1,1.0926470386270253,1,6,3.0,0.0155,0.005463235193135126,0.005,0.03,0.015,10.11941568851471,2.6920929670268494,2.130117654800415,17.577823638916016,10.043091297149658,0.006732280813157559,0.002713260083964353,0.003288370557129383,0.020308373495936394,0.006139926612377167,0.057600134331732986,0.0379555530638568,0.0036094943061470985,0.1626337319612503,0.05002405121922493,0.0433250093460083,0.008888979060550518,0.030301570892333984,0.05673360824584961,0.03912079334259033,1000.0,0.0,1000,1000,1000.0,200.0,0.0,200,200,200.0,10.0,0.0,10,10,10.0,10.0,0.0,10,10,10.0,0.0,0.0,0,0,0.0,0.21775835990905762,0.031081809591215818,0.18639159202575684,0.2615673542022705,0.20329928398132324
0.0,FVM (200),0.026227812562137843,0.005422648536133233,0.01310693472623825,0.03603136166930199,0.02704182919114828,0.7266003090143204,0.2764607704681835,0.2546859681606293,1.8150831460952759,0.7074716687202454,0.4862180307507515,0.20443561298109086,0.009851157665252686,1.0799477100372314,0.4745292514562607,2.454173554724548e-06,1.4855797762549848e-06,5.340576194612368e-07,6.482601293100743e-06,2.1982192492941977e-06,2.3703932492935564e-06,1.5557884065477051e-06,3.814696469817136e-08,6.482601293100743e-06,2.188682515225082e-06,3.83168,0.38394884012943004,2.2880000000000003,4.0,3.984,3.1,1.0926470386270253,1,6,3.0,0.0155,0.005463235193135126,0.005,0.03,0.015,10.11941568851471,2.6920929670268494,2.130117654800415,17.577823638916016,10.043091297149658,0.05878072254359722,0.039547246893176895,0.01672428846359253,0.200149267911911,0.04504345543682575,0.37643892630934717,0.13533462637047683,0.08734118193387985,0.6952499747276306,0.37123285233974457,0.015226759910583497,0.004875755978795247,0.009212732315063477,0.030567407608032227,0.01338648796081543,200.0,0.0,200,200,200.0,200.0,0.0,200,200,200.0,2.0,0.0,2,2,2.0,2.0,0.0,2,2,2.0,0.0,0.0,0,0,0.0,0.21775835990905762,0.031081809591215818,0.18639159202575684,0.2615673542022705,0.20329928398132324
0.0,FVM (2000),0.0020191548950970173,0.00046299877867108627,0.0009605400264263153,0.0030363304540514946,0.0020071815233677626,0.06212003171443939,0.027703988870999972,0.01599884033203125,0.11353325843811035,0.05951368808746338,0.030443856995552777,0.01750728712213635,0.003405265510082245,0.06758170574903488,0.027431249618530273,3.0081034049089795e-06,2.0178031591397385e-06,5.340576194612368e-07,9.078979019250255e-06,2.6321412178731407e-06,2.8730392551779007e-06,2.115670343382198e-06,2.646445977916301e-07,9.078979019250255e-06,2.6321412178731407e-06,3.8179199999999995,0.3735571884748365,2.2880000000000003,4.0,3.984,3.1,1.0926470386270253,1,6,3.0,0.0155,0.005463235193135126,0.005,0.03,0.015,10.11941568851471,2.6920929670268494,2.130117654800415,17.577823638916016,10.043091297149658,0.003234940725378692,0.0010651541446030936,0.0016721219290047884,0.007760489359498024,0.0030312829185277224,0.023645857381634414,0.01948755411620155,0.0018251261208206415,0.09424301236867905,0.01837953832000494,0.07776106834411621,0.015592542812834476,0.05685901641845703,0.11176323890686035,0.06655025482177734,2000.0,0.0,2000,2000,2000.0,200.0,0.0,200,200,200.0,20.0,0.0,20,20,20.0,20.0,0.0,20,20,20.0,0.0,0.0,0,0,0.0,0.21775835990905762,0.031081809591215818,0.18639159202575684,0.2615673542022705,0.20329928398132324
0.0,FVM (400),0.012081978702917695,0.002762173940846406,0.0054290201514959335,0.016848402097821236,0.01237886305898428,0.3810678383708,0.1478185859662329,0.12171578407287598,0.7931950092315674,0.36407676339149475,0.23563833862543107,0.10253712981100206,0.0454060435295105,0.45796483755111694,0.2347296103835106,2.476966365065891e-06,1.4784293642053611e-06,5.722046125811175e-07,6.4754485720186494e-06,2.19345088225964e-06,2.3894071458130385e-06,1.558232901243985e-06,6.675719532722724e-08,6.4754485720186494e-06,2.19106675558578e-06,3.8352,0.3701763506928081,2.448,4.0,3.984,3.1,1.0926470386270253,1,6,3.0,0.0155,0.005463235193135126,0.005,0.03,0.015,10.11941568851471,2.6920929670268494,2.130117654800415,17.577823638916016,10.043091297149658,0.019877151548862458,0.011164340883154973,0.008461491204798222,0.06451311707496643,0.016921755857765675,0.17324471522122623,0.0846644442264622,0.02303704060614109,0.34404006600379944,0.1662721037864685,0.02198148250579834,0.006290297152771371,0.013830900192260742,0.03284811973571777,0.019928932189941406,400.0,0.0,400,400,400.0,200.0,0.0,200,200,200.0,4.0,0.0,4,4,4.0,4.0,0.0,4,4,4.0,0.0,0.0,0,0,0.0,0.21775835990905762,0.031081809591215818,0.18639159202575684,0.2615673542022705,0.20329928398132324
0.0,FVM (800),0.005555888032540679,0.001317631598183833,0.0024071072693914175,0.007780109532177448,0.005613213172182441,0.17280383691191673,0.0657119996980984,0.05207425355911255,0.29398512840270996,0.15973618626594543,0.09804733406752347,0.048374357641375834,0.02024037577211857,0.21186429262161255,0.099738210439682,2.385640134434652e-06,1.4028951299403975e-06,4.1961669694501325e-07,6.511211267934414e-06,2.017021074607328e-06,2.295184115723714e-06,1.4758929936426435e-06,7.629394360719743e-08,6.511211267934414e-06,2.0122527075727703e-06,3.78688,0.42453338802857477,2.4,4.0,3.984,3.1,1.0926470386270253,1,6,3.0,0.0155,0.005463235193135126,0.005,0.03,0.015,10.11941568851471,2.6920929670268494,2.130117654800415,17.577823638916016,10.043091297149658,0.008587107053026557,0.0036809122310125252,0.004149625543504953,0.02818911336362362,0.008022163063287735,0.07523139742203057,0.0461219974889541,0.005468285176903009,0.1805618852376938,0.07102586328983307,0.03627824783325195,0.007329191597333574,0.02667546272277832,0.048674583435058594,0.037186264991760254,800.0,0.0,800,800,800.0,200.0,0.0,200,200,200.0,8.0,0.0,8,8,8.0,8.0,0.0,8,8,8.0,0.0,0.0,0,0,0.0,0.21775835990905762,0.031081809591215818,0.18639159202575684,0.2615673542022705,0.20329928398132324
0.0,Ours (200),0.0006874459231039509,0.0003238979744150258,0.00029199919663369656,0.0015939060831442475,0.0006390703201759607,0.03274980530142784,0.020164576672832658,0.0025838613510131836,0.10388493537902832,0.029610663652420044,0.012355964789167046,0.008866190913290146,0.0012309551239013672,0.037943582981824875,0.009335987269878387,2.470874782716237e-06,1.5168223776179558e-06,4.482269275740691e-07,6.513595508295111e-06,2.2220610844669864e-06,2.396488187059731e-06,1.573993953560398e-06,1.1444092251622351e-07,6.513595508295111e-06,2.212524350397871e-06,3.8,0.4594257284915592,2.208,4.0,3.992,3.1,1.0926470386270253,1,6,3.0,0.0155,0.005463235193135126,0.005,0.03,0.015,10.11941568851471,2.6920929670268494,2.130117654800415,17.577823638916016,10.043091297149658,0.0013956408336525783,0.0007481202293840631,0.0004027486138511449,0.003389200894162059,0.0012538870214484632,0.005803330736234784,0.004497613347331454,0.0005028217565268278,0.022209979593753815,0.004690197994932532,0.17141611099243165,0.04066407371631531,0.09590029716491699,0.2517244815826416,0.16434800624847412,200.0,0.0,200,200,200.0,200.0,0.0,200,200,200.0,2.0,0.0,2,2,2.0,0.0,0.0,0,0,0.0,2.0,0.0,2,2,2.0,0.21775835990905762,0.031081809591215818,0.18639159202575684,0.2615673542022705,0.20329928398132324
0.0,WENO-Z (1000),0.0004356714531968464,0.0003538447613794013,1.1276931218162645e-05,0.0013034966541454196,0.00036913416988682,0.034374666288495066,0.027257246684859862,0.000671088695526123,0.09072554111480713,0.02727043628692627,0.02040731197921559,0.023495871559101395,8.215010166168213e-05,0.09044128656387329,0.011332131922245026,2.4462223063892453e-06,1.5087433611262182e-06,4.95910626341356e-07,6.631612905039219e-06,2.098083541568485e-06,2.3590564723008357e-06,1.5868246051528056e-06,1.1444092251622351e-07,6.631612905039219e-06,2.069473225674301e-06,3.8016,0.44174052777343287,2.176,4.0,3.984,3.1,1.0926470386270253,1,6,3.0,0.0155,0.005463235193135126,0.005,0.03,0.015,10.11941568851471,2.6920929670268494,2.130117654800415,17.577823638916016,10.043091297149658,2.1148423684280715e-05,8.741421990841572e-06,7.38352855478297e-06,4.5663116907235235e-05,1.956522919499548e-05,0.007861610697000287,0.010834781561731115,4.401084879646078e-05,0.041272275149822235,0.0023304414935410023,0.059517803192138674,0.009241220731283365,0.04661846160888672,0.07238388061523438,0.05446743965148926,1000.0,0.0,1000,1000,1000.0,200.0,0.0,200,200,200.0,10.0,0.0,10,10,10.0,10.0,0.0,10,10,10.0,0.0,0.0,0,0,0.0,0.21775835990905762,0.031081809591215818,0.18639159202575684,0.2615673542022705,0.20329928398132324
0.0,WENO-Z (200),0.006404977415804751,0.0021804254647147933,0.0004441024793777615,0.009761050343513489,0.006497124442830682,0.3413735181093216,0.12066798785288001,0.0350184440612793,0.5634539127349854,0.33777180314064026,0.27538308724761007,0.132762739083374,0.02180004119873047,0.5619585514068604,0.2767733782529831,2.4564862155784796e-06,1.4762278594640088e-06,5.149841513230058e-07,6.544590178236831e-06,2.2172927174324286e-06,2.3676514473436328e-06,1.5536733790894161e-06,0.0,6.544590178236831e-06,2.205371856689453e-06,3.8300799999999997,0.37160807969951243,2.4,4.0,3.984,3.1,1.0926470386270253,1,6,3.0,0.0155,0.005463235193135126,0.005,0.03,0.015,10.11941568851471,2.6920929670268494,2.130117654800415,17.577823638916016,10.043091297149658,0.007984297752118437,0.007852771255259223,6.760359974578023e-05,0.027669860050082207,0.004427046747878194,0.18797393781132996,0.09202020302917861,0.004066870082169771,0.41150808334350586,0.17262830585241318,0.016364593505859375,0.004676772540529457,0.01072382926940918,0.029361248016357422,0.014806389808654785,200.0,0.0,200,200,200.0,200.0,0.0,200,200,200.0,2.0,0.0,2,2,2.0,2.0,0.0,2,2,2.0,0.0,0.0,0,0,0.0,0.21775835990905762,0.031081809591215818,0.18639159202575684,0.2615673542022705,0.20329928398132324
0.0,WENO-Z (2000),0.00012154690534771362,0.00011098929037136011,5.725594292016467e-06,0.0004066757974214852,8.549158155801706e-05,0.008777264468371869,0.00949239649768854,4.3392181396484375e-05,0.029947519302368164,0.005012571811676025,0.00476207351195626,0.007337952361422687,1.8358230590820312e-05,0.029709219932556152,0.0007487057300750166,2.3477554316286844e-06,1.3711193596515813e-06,5.149841513230058e-07,5.931854047958041e-06,2.117157009706716e-06,2.263593654987517e-06,1.445488645261573e-06,2.3841892016207566e-08,5.931854047958041e-06,2.088546693812532e-06,3.7695999999999996,0.4724411635973567,2.112,4.0,3.984,3.1,1.0926470386270253,1,6,3.0,0.0155,0.005463235193135126,0.005,0.03,0.015,10.11941568851471,2.6920929670268494,2.130117654800415,17.577823638916016,10.043091297149658,4.9977727012446846e-05,2.3961068890949182e-05,1.5029311725811567e-05,9.682179370429367e-05,4.9008616770152e-05,0.001419167203894176,0.002814730755058854,1.7049311281880364e-05,0.013152820989489555,0.0004024332301924005,0.10595397472381592,0.01391422518702888,0.08653926849365234,0.13715147972106934,0.09798896312713623,2000.0,0.0,2000,2000,2000.0,200.0,0.0,200,200,200.0,20.0,0.0,20,20,20.0,20.0,0.0,20,20,20.0,0.0,0.0,0,0,0.0,0.21775835990905762,0.031081809591215818,0.18639159202575684,0.2615673542022705,0.20329928398132324
0.0,WENO-Z (400),0.00220288571465062,0.0010820588158535918,7.399248715955764e-05,0.004299381747841835,0.0022063617361709476,0.142022338360548,0.06923730136870625,0.005938708782196045,0.274463415145874,0.14932993054389954,0.10321640335023403,0.06981075360998476,0.005736112594604492,0.27431410551071167,0.08947514370083809,2.469968787863763e-06,1.4792115057319714e-06,5.340576194612368e-07,6.5588951656536665e-06,2.1648406800522935e-06,2.3830890449971778e-06,1.5529264966451966e-06,3.814696469817136e-08,6.5588951656536665e-06,2.1600723130177357e-06,3.832,0.3791703079738439,2.4,4.0,3.984,3.1,1.0926470386270253,1,6,3.0,0.0155,0.005463235193135126,0.005,0.03,0.015,10.11941568851471,2.6920929670268494,2.130117654800415,17.577823638916016,10.043091297149658,0.00019057887122471583,0.00019900946185820112,1.3858081729267724e-05,0.0009134903084486723,0.00011938737952732481,0.06020120324683376,0.04424958535680516,0.0005406531854532659,0.15789246559143066,0.045060258358716965,0.028128976821899413,0.0067179368848067945,0.019377470016479492,0.04593181610107422,0.02456068992614746,400.0,0.0,400,400,400.0,200.0,0.0,200,200,200.0,4.0,0.0,4,4,4.0,4.0,0.0,4,4,4.0,0.0,0.0,0,0,0.0,0.21775835990905762,0.031081809591215818,0.18639159202575684,0.2615673542022705,0.20329928398132324
