nu,seed,Method,L1,Linf,E_SG_T4,E_mean_max_0_4,E_mean_final_T4,E_mean_argmax_time,SG_points,SG_fraction,SG_threshold,final_abs_error_p95,final_abs_error_p99,Time,N_native,N_eval,native_substeps,traditional_substeps,nn_substeps,source_treatment,RefTime,model_path
0.0,1817,WENO-Z (1000),0.0002974948438350111,0.022088348865509033,0.011028170585632324,1.7833708625403233e-06,1.7547606603329768e-06,3.984,4,0.02,9.569092750549316,1.9556284314603545e-05,0.007303475867956877,0.06085610389709473,1000,200,10,10,0,exact_restriction_from_Nhigh4000,0.25223350524902344,
0.0,1817,FVM (2000),0.0017890960443764925,0.043582797050476074,0.015975937247276306,1.6880035218491685e-06,1.6403197378167533e-06,3.872,4,0.02,9.569092750549316,0.00292853731662035,0.012904006987810135,0.09738612174987793,2000,200,20,20,0,exact_restriction_from_Nhigh4000,0.25223350524902344,
0.0,1817,WENO-Z (2000),5.1271505071781576e-05,0.003050386905670166,0.0015441179275512695,1.5163420812314143e-06,1.5068053471622989e-06,3.984,4,0.02,9.569092750549316,4.425048973644152e-05,0.0004109462315682322,0.09827899932861328,2000,200,20,20,0,exact_restriction_from_Nhigh4000,0.25223350524902344,
0.0,1817,Ours (200),0.0004766849451698363,0.01763331890106201,0.005799382925033569,1.6117095356094069e-06,1.6021728015402914e-06,3.984,4,0.02,9.569092750549316,0.0010370395611971617,0.0061621093191206455,0.16554856300354004,200,200,2,0,2,train_py_original_ours_protocol,0.25223350524902344,code/model_fixed.pkl
0.0,1818,FVM (200),0.024770069867372513,0.7904142141342163,0.5357568860054016,2.2029876163287554e-06,2.2029876163287554e-06,4.0,3,0.015,12.707168579101562,0.025454483926296234,0.4394465386867523,0.021706104278564453,200,200,2,2,0,exact_restriction_from_Nhigh4000,0.18668031692504883,
0.0,1818,WENO-Z (200),0.0074109528213739395,0.4168679714202881,0.3564721643924713,2.346038854739163e-06,2.346038854739163e-06,4.0,3,0.015,12.707168579101562,0.000860083382576704,0.29011645913124084,0.023130416870117188,200,200,2,2,0,exact_restriction_from_Nhigh4000,0.18668031692504883,
0.0,1818,FVM (400),0.011100986041128635,0.4324380159378052,0.2544654309749603,2.1839141481905244e-06,2.1839141481905244e-06,4.0,3,0.015,12.707168579101562,0.01267649233341217,0.1640596091747284,0.030618667602539062,400,200,4,4,0,exact_restriction_from_Nhigh4000,0.18668031692504883,
0.0,1818,WENO-Z (400),0.002367618726566434,0.143294095993042,0.1250735968351364,2.326965386600932e-06,2.326965386600932e-06,4.0,3,0.015,12.707168579101562,2.176463749492541e-05,0.0928536131978035,0.02058267593383789,400,200,4,4,0,exact_restriction_from_Nhigh4000,0.18668031692504883,
0.0,1818,FVM (800),0.004605735652148724,0.1658402681350708,0.08211014419794083,2.117157009706716e-06,2.117157009706716e-06,4.0,3,0.015,12.707168579101562,0.006340198218822479,0.03031712770462036,0.030011415481567383,800,200,8,8,0,exact_restriction_from_Nhigh4000,0.18668031692504883,
0.0,1818,WENO-Z (800),0.00043034530244767666,0.02808082103729248,0.023396095260977745,2.0885468074993696e-06,2.0885468074993696e-06,4.0,3,0.015,12.707168579101562,1.9550323486328125e-05,0.014497357420623302,0.05340147018432617,800,200,8,8,0,exact_restriction_from_Nhigh4000,0.18668031692504883,
0.0,1818,FVM (1000),0.0035178966354578733,0.11549437046051025,0.05867691710591316,2.174377414121409e-06,2.174377414121409e-06,4.0,3,0.015,12.707168579101562,0.005072490777820349,0.020902685821056366,0.05673360824584961,1000,200,10,10,0,exact_restriction_from_Nhigh4000,0.18668031692504883,
0.0,1818,WENO-Z (1000),0.00022915755107533187,0.0159376859664917,0.01260391902178526,2.117157009706716e-06,2.117157009706716e-06,4.0,3,0.015,12.707168579101562,1.9437075025052764e-05,0.006677101366221905,0.052465200424194336,1000,200,10,10,0,exact_restriction_from_Nhigh4000,0.18668031692504883,
0.0,1818,FVM (2000),0.0015942594036459923,0.040448904037475586,0.01928446628153324,2.384185791015625e-06,2.365112322877394e-06,3.92,3,0.015,12.707168579101562,0.0025465786457061768,0.0026960268151015043,0.0952463150024414,2000,200,20,20,0,exact_restriction_from_Nhigh4000,0.18668031692504883,
0.0,1818,WENO-Z (2000),2.834428960341029e-05,0.0010251998901367188,0.0006358623504638672,1.8978118987433845e-06,1.8978118987433845e-06,4.0,3,0.015,12.707168579101562,5.0681832362897694e-05,0.0001811379916034639,0.09421086311340332,2000,200,20,20,0,exact_restriction_from_Nhigh4000,0.18668031692504883,
