time_rel,quantity,method,value_mean,value_std,value_median,value_p95,n_traj
0.1,KineticEnergy,ref,0.01739139943383634,0.006357557264763235,0.01730438880622387,0.026390473917126653,30
0.2,KineticEnergy,ref,0.017324110275755325,0.0063887469658591755,0.01629036758095026,0.026653469260782003,30
0.30000000000000004,KineticEnergy,ref,0.016964151058346033,0.006338725248515836,0.016439048573374748,0.026465922966599463,30
0.4,KineticEnergy,ref,0.016573669590676823,0.0061979932414987626,0.015766356140375137,0.02598772682249546,30
0.5,KineticEnergy,ref,0.01645600333188971,0.006018212110408531,0.015500281937420368,0.025593090802431103,30
0.6000000000000001,KineticEnergy,ref,0.016674488162000973,0.005928486579775872,0.015480213332921267,0.025330761726945632,30
0.7000000000000001,KineticEnergy,ref,0.017092876819272837,0.0059902586086127115,0.015440295450389385,0.026165604777634143,30
0.8,KineticEnergy,ref,0.017519149572278063,0.006119351740129745,0.016047369688749313,0.028153815399855373,30
0.9,KineticEnergy,ref,0.017773767948771516,0.00630894642711493,0.01625182945281267,0.029164053034037348,30
1.0,KineticEnergy,ref,0.017767880205065013,0.006555179341578844,0.016307087615132332,0.03002905286848544,30
1.1,KineticEnergy,ref,0.01756267943419516,0.0067356880114997145,0.016969112679362297,0.029157541878521435,30
1.2000000000000002,KineticEnergy,ref,0.017309959093108774,0.0067063386447894745,0.016194278374314308,0.027937115263193844,30
1.3,KineticEnergy,ref,0.017127318121492863,0.0064858638938756095,0.015690684784203768,0.027849512360990047,30
1.4000000000000001,KineticEnergy,ref,0.017024651433651648,0.006247992157104584,0.01607610285282135,0.0278534485027194,30
1.5,KineticEnergy,ref,0.016931672828892866,0.006093247539567516,0.016487862914800644,0.026510499604046344,30
1.6,KineticEnergy,ref,0.01678353687748313,0.006045051773382497,0.015810372307896614,0.025756237935274838,30
1.7000000000000002,KineticEnergy,ref,0.016596238998075327,0.006067360373605012,0.014946762472391129,0.02573653794825077,30
1.8,KineticEnergy,ref,0.01647765755963822,0.006167223394694917,0.01454837340861559,0.026027264073491093,30
1.9000000000000001,KineticEnergy,ref,0.016523674549534916,0.006389436796124717,0.015148662962019444,0.026262572035193443,30
2.0,KineticEnergy,ref,0.016692704645295937,0.0066718229511666645,0.015536243095993996,0.026794196106493473,30
2.1,KineticEnergy,ref,0.016871280036866665,0.006906339917002707,0.015671364963054657,0.0277792758308351,30
2.2,KineticEnergy,ref,0.01704387248804172,0.007134322652959363,0.01576290698722005,0.029479865450412025,30
2.3000000000000003,KineticEnergy,ref,0.017271211200083295,0.007295217549300313,0.015142529271543026,0.02978795804083347,30
2.4000000000000004,KineticEnergy,ref,0.01756305491241316,0.007230771312350447,0.01584361307322979,0.029848319478332996,30
2.5,KineticEnergy,ref,0.017877705783272784,0.006987601708896708,0.015429987572133541,0.028784054797142744,30
2.6,KineticEnergy,ref,0.018135226238518952,0.006707062562351364,0.01665160059928894,0.02798146279528737,30
2.7,KineticEnergy,ref,0.018215215066447854,0.006602644934825212,0.01803978532552719,0.027879431750625367,30
2.8000000000000003,KineticEnergy,ref,0.0180901606567204,0.00668070610731749,0.017836292274296284,0.02847932036966085,30
2.9000000000000004,KineticEnergy,ref,0.017844794938961666,0.006732565308452212,0.017186785116791725,0.02992262067273258,30
3.0,KineticEnergy,ref,0.017474282626062633,0.006719018754287015,0.015386867336928844,0.029583796393126235,30
3.1,KineticEnergy,ref,0.016963803178320327,0.006546235726298438,0.01443879771977663,0.028482297901064144,30
3.2,KineticEnergy,ref,0.016542676975950597,0.00614504775626229,0.015111463610082865,0.026834591384977097,30
3.3000000000000003,KineticEnergy,ref,0.016430632614841064,0.0056995009609131534,0.015231399331241846,0.025530258938670156,30
3.4000000000000004,KineticEnergy,ref,0.016462687278787295,0.005464561524346665,0.015535743441432714,0.02566392393782735,30
3.5,KineticEnergy,ref,0.01638944374086956,0.00536579471582541,0.015343169681727886,0.025884718634188175,30
3.6,KineticEnergy,ref,0.016286047423879305,0.005352899886485649,0.015625116415321827,0.026104560587555167,30
3.7,KineticEnergy,ref,0.016340411609659593,0.005467385064203684,0.015467265620827675,0.025503336265683168,30
3.8000000000000003,KineticEnergy,ref,0.016562735879172882,0.00573351239583568,0.015982800163328648,0.026282782480120653,30
3.9000000000000004,KineticEnergy,ref,0.01686646705493331,0.006033287775332294,0.016780203208327293,0.02686097454279661,30
4.0,KineticEnergy,ref,0.017123647142822544,0.006174037683135668,0.017576548270881176,0.026826279796659944,30
4.1000000000000005,KineticEnergy,ref,0.017160413848857085,0.006144729594855932,0.017304922454059124,0.026299699954688546,30
4.2,KineticEnergy,ref,0.016956023685634137,0.006058406581136334,0.016669982112944126,0.026374339405447242,30
4.3,KineticEnergy,ref,0.016713411019494136,0.006018781273045846,0.015967741142958403,0.02683824654668569,30
4.4,KineticEnergy,ref,0.016599640157073735,0.006073003847787721,0.015847228467464447,0.02624435294419527,30
4.5,KineticEnergy,ref,0.01662272520673772,0.006189542906915349,0.01647327933460474,0.026205631997436283,30
4.6000000000000005,KineticEnergy,ref,0.01678436901420355,0.006317749236985713,0.016044477000832558,0.026446268334984778,30
4.7,KineticEnergy,ref,0.017094562590743104,0.006430456174436559,0.015479279682040215,0.02668208200484514,30
4.800000000000001,KineticEnergy,ref,0.0174175130824248,0.006480106233972639,0.016146301291882992,0.02682981416583061,30
4.9,KineticEnergy,ref,0.017526766067991653,0.006392978438465328,0.016439318656921387,0.027081329096108674,30
5.0,KineticEnergy,ref,0.017363814637064934,0.006253117371948371,0.01624348573386669,0.026946784742176527,30
5.1000000000000005,KineticEnergy,ref,0.01712160270350675,0.00616603217414822,0.01652667671442032,0.02696738559752702,30
5.2,KineticEnergy,ref,0.01703606325512131,0.006127183949595088,0.016211497597396374,0.027225101273506875,30
5.300000000000001,KineticEnergy,ref,0.01715309211673836,0.006235802720080535,0.015616395510733128,0.02766450401395559,30
5.4,KineticEnergy,ref,0.017317995661869645,0.006453723186474453,0.015509357675909996,0.028176043462008235,30
5.5,KineticEnergy,ref,0.017366991331800818,0.006613412098115167,0.015607676468789577,0.028373431880027052,30
5.6000000000000005,KineticEnergy,ref,0.01731423841168483,0.0066564034293519975,0.01613082643598318,0.028036956675350666,30
5.7,KineticEnergy,ref,0.01729447636753321,0.006681880749655937,0.016134055331349373,0.027801747806370253,30
5.800000000000001,KineticEnergy,ref,0.01732643220263223,0.006707017760510168,0.015161584597080946,0.028115762025117872,30
5.9,KineticEnergy,ref,0.017312316922470927,0.006607926727299527,0.014821822755038738,0.02808761624619364,30
6.0,KineticEnergy,ref,0.01726954346522689,0.00641327446411749,0.015189176425337791,0.02747686216607689,30
6.1000000000000005,KineticEnergy,ref,0.017284226495151718,0.006264242771379051,0.014601305592805147,0.027172897104173893,30
6.2,KineticEnergy,ref,0.01727833254262805,0.0063185675036861715,0.015310624614357948,0.027601854503154753,30
6.300000000000001,KineticEnergy,ref,0.017151779712488255,0.006575934557813578,0.014921396505087614,0.02746549118310213,30
6.4,KineticEnergy,ref,0.017016556486487387,0.0067950724336076065,0.015775131061673164,0.027630176860839125,30
6.5,KineticEnergy,ref,0.016988673883800706,0.006880885534599439,0.015333551447838545,0.027121665235608817,30
6.6000000000000005,KineticEnergy,ref,0.017005106061697008,0.006888296406409694,0.015987444203346968,0.027537411171942947,30
6.7,KineticEnergy,ref,0.017030682073285182,0.00672006803443427,0.01630530320107937,0.02792156999930739,30
6.800000000000001,KineticEnergy,ref,0.01710493949552377,0.0064495197267765,0.01565360650420189,0.02705200919881463,30
