time_rel,quantity,method,loss_mean,loss_std,loss_median,loss_p95,n_traj
0.1,KineticEnergyAbsLoss,FNO,5.835931127270063e-06,4.4044461495884365e-06,4.913657903671265e-06,1.375479623675346e-05,30
0.2,KineticEnergyAbsLoss,FNO,1.1141815533240635e-05,7.076263743922011e-06,9.470619261264801e-06,2.179141156375408e-05,30
0.30000000000000004,KineticEnergyAbsLoss,FNO,1.4242126295963923e-05,8.717848340712435e-06,1.4519784599542618e-05,2.638120204210281e-05,30
0.4,KineticEnergyAbsLoss,FNO,1.694583334028721e-05,1.0382812970072312e-05,1.7367303371429443e-05,3.1660497188568106e-05,30
0.5,KineticEnergyAbsLoss,FNO,1.6454126064976057e-05,1.2787903385435133e-05,1.3010576367378235e-05,3.8000289350748055e-05,30
0.6000000000000001,KineticEnergyAbsLoss,FNO,1.5572396417458852e-05,1.3336025949280679e-05,1.1875759810209274e-05,4.153195768594742e-05,30
0.7000000000000001,KineticEnergyAbsLoss,FNO,1.4626669387022654e-05,1.4591690631064825e-05,1.0722316801548004e-05,4.528826102614402e-05,30
0.8,KineticEnergyAbsLoss,FNO,1.689849110941092e-05,1.572320836250696e-05,9.73651185631752e-06,4.770956002175807e-05,30
0.9,KineticEnergyAbsLoss,FNO,2.05314252525568e-05,1.7648144734174886e-05,1.4423858374357224e-05,4.988890141248702e-05,30
1.0,KineticEnergyAbsLoss,FNO,2.2971909493207933e-05,1.980021921257822e-05,2.1194573491811752e-05,5.614245310425758e-05,30
1.1,KineticEnergyAbsLoss,FNO,2.634014623860518e-05,2.194798016308533e-05,2.1175947040319443e-05,6.195856258273122e-05,30
1.2000000000000002,KineticEnergyAbsLoss,FNO,2.9281247407197952e-05,2.394577148336856e-05,2.4932902306318283e-05,7.422398775815962e-05,30
1.3,KineticEnergyAbsLoss,FNO,3.213280191024145e-05,2.6363134819246826e-05,2.1891668438911438e-05,8.824309334158896e-05,30
1.4000000000000001,KineticEnergyAbsLoss,FNO,3.341108871002992e-05,3.0047114830628176e-05,2.1177111193537712e-05,9.844237938523288e-05,30
1.5,KineticEnergyAbsLoss,FNO,3.649673114220301e-05,3.365577760922026e-05,2.3954547941684723e-05,0.00010895840823650353,30
1.6,KineticEnergyAbsLoss,FNO,3.9966559658447905e-05,3.6420262413160686e-05,2.7126632630825043e-05,0.00012321164831519121,30
1.7000000000000002,KineticEnergyAbsLoss,FNO,4.174976299206416e-05,3.711053894899636e-05,2.8351321816444397e-05,0.0001278399489820003,30
1.8,KineticEnergyAbsLoss,FNO,4.396598475674788e-05,3.75977133262676e-05,2.9585789889097214e-05,0.00012944042682647703,30
1.9000000000000001,KineticEnergyAbsLoss,FNO,4.740511067211628e-05,3.9073462842651545e-05,3.186939284205437e-05,0.0001301627606153488,30
2.0,KineticEnergyAbsLoss,FNO,4.867602450152238e-05,3.977449290110185e-05,3.4076161682605743e-05,0.00012928396463394163,30
2.1,KineticEnergyAbsLoss,FNO,4.797073391576608e-05,3.91291290484123e-05,3.350572660565376e-05,0.00012472029775381085,30
2.2,KineticEnergyAbsLoss,FNO,4.8404606059193614e-05,3.836440062437319e-05,3.2158102840185165e-05,0.00012453673407435416,30
2.3000000000000003,KineticEnergyAbsLoss,FNO,4.8095375920335455e-05,3.814604423095717e-05,3.4457072615623474e-05,0.00012266016565263272,30
2.4000000000000004,KineticEnergyAbsLoss,FNO,4.931880782047907e-05,3.883914077797802e-05,3.379117697477341e-05,0.0001245475374162197,30
2.5,KineticEnergyAbsLoss,FNO,5.1303983976443605e-05,3.834913100869762e-05,4.1896477341651917e-05,0.00012582489289343353,30
2.6,KineticEnergyAbsLoss,FNO,5.430358772476514e-05,3.864490131270507e-05,4.4981949031353e-05,0.00012826686725020406,30
2.7,KineticEnergyAbsLoss,FNO,5.621241095165412e-05,4.022147098160767e-05,4.147086292505264e-05,0.0001346286851912737,30
2.8000000000000003,KineticEnergyAbsLoss,FNO,5.650025171538194e-05,4.318790267654495e-05,4.2224302887916565e-05,0.00013991296291351315,30
2.9000000000000004,KineticEnergyAbsLoss,FNO,5.8516828964153926e-05,4.275496193793583e-05,4.51384112238884e-05,0.00013879621401429173,30
3.0,KineticEnergyAbsLoss,FNO,5.8939432104428606e-05,4.2492911546090555e-05,4.710350185632706e-05,0.00013235895894467828,30
3.1,KineticEnergyAbsLoss,FNO,5.9254467487335205e-05,4.2276386084885945e-05,4.8140063881874084e-05,0.0001272565685212612,30
