Cell-Center Velocity Error Report
Input NetCDF: fno_predictions_30cases_20steps.nc
Trajectories: 30   Steps: 400
Reference variables: gt_u, gt_v
CC grid: 64 x 64

Metrics:
  RelL2 = sqrt(sum(du^2)+sum(dv^2)) / sqrt(sum(u_ref^2)+sum(v_ref^2))
  MaxErr = max sqrt(du^2 + dv^2)


============================================================
  Method: FNO
============================================================
Step    RelL2_mean    RelL2_std     MaxErr_mean   MaxErr_std    
85      5.1927e-03    2.5598e-03    2.4009e-03    1.0668e-03    
86      5.1945e-03    2.6296e-03    2.3583e-03    1.0563e-03    
87      5.1992e-03    2.6637e-03    2.3257e-03    1.0832e-03    
88      5.2170e-03    2.6476e-03    2.3712e-03    1.1321e-03    
89      5.2429e-03    2.6134e-03    2.4446e-03    1.1334e-03    
90      5.2548e-03    2.6246e-03    2.4506e-03    1.1799e-03    
91      5.2529e-03    2.6670e-03    2.3536e-03    1.1845e-03    
92      5.2748e-03    2.7100e-03    2.4555e-03    1.1320e-03    
93      5.2805e-03    2.7619e-03    2.4521e-03    1.1379e-03    
94      5.2528e-03    2.7970e-03    2.4012e-03    1.1853e-03    
95      5.2333e-03    2.7830e-03    2.3568e-03    1.2112e-03    
96      5.2780e-03    2.7940e-03    2.4481e-03    1.1834e-03    
97      5.3341e-03    2.8594e-03    2.4971e-03    1.2160e-03    
98      5.4033e-03    2.9401e-03    2.4591e-03    1.2445e-03    
99      5.4786e-03    2.9956e-03    2.4463e-03    1.2403e-03    
100     5.5157e-03    2.9787e-03    2.6146e-03    1.3399e-03    
101     5.4412e-03    2.9319e-03    2.5808e-03    1.2390e-03    
102     5.3675e-03    2.8908e-03    2.5921e-03    1.3932e-03    
103     5.3027e-03    2.8584e-03    2.5837e-03    1.4010e-03    
104     5.2613e-03    2.8975e-03    2.5780e-03    1.3646e-03    
105     5.2903e-03    3.0037e-03    2.5395e-03    1.3432e-03    
106     5.3556e-03    3.1030e-03    2.5380e-03    1.3596e-03    
107     5.4237e-03    3.1402e-03    2.5497e-03    1.3746e-03    
108     5.4189e-03    3.0449e-03    2.5905e-03    1.3784e-03    
109     5.3410e-03    2.8944e-03    2.5529e-03    1.3938e-03    
110     5.2763e-03    2.8090e-03    2.5201e-03    1.4249e-03    
111     5.2699e-03    2.7969e-03    2.5275e-03    1.4223e-03    
112     5.3248e-03    2.8480e-03    2.5746e-03    1.4261e-03    
113     5.3725e-03    2.9295e-03    2.5461e-03    1.4353e-03    
114     5.4016e-03    2.9708e-03    2.6037e-03    1.4507e-03    
115     5.4379e-03    2.9289e-03    2.6125e-03    1.4082e-03    
116     5.4265e-03    2.8192e-03    2.6310e-03    1.3454e-03    
117     5.3838e-03    2.6965e-03    2.6121e-03    1.3092e-03    
118     5.3815e-03    2.6153e-03    2.6889e-03    1.3210e-03    
119     5.4198e-03    2.6041e-03    2.7976e-03    1.3798e-03    
120     5.4928e-03    2.6452e-03    2.7966e-03    1.4487e-03    
121     5.5690e-03    2.6894e-03    2.8222e-03    1.4996e-03    
122     5.5595e-03    2.6996e-03    2.7855e-03    1.4724e-03    
123     5.5482e-03    2.7115e-03    2.7647e-03    1.5023e-03    
124     5.5225e-03    2.7238e-03    2.7413e-03    1.5023e-03    
125     5.5343e-03    2.7123e-03    2.7965e-03    1.4628e-03    
126     5.5698e-03    2.7274e-03    2.8241e-03    1.4718e-03    
127     5.6165e-03    2.7619e-03    2.8543e-03    1.4118e-03    
128     5.6682e-03    2.7771e-03    2.7676e-03    1.4155e-03    
129     5.6911e-03    2.7822e-03    2.7416e-03    1.4443e-03    
130     5.7155e-03    2.7988e-03    2.7424e-03    1.4985e-03    
131     5.7305e-03    2.8040e-03    2.7261e-03    1.5132e-03    
132     5.7297e-03    2.8103e-03    2.7402e-03    1.5734e-03    
133     5.7149e-03    2.8298e-03    2.7210e-03    1.5381e-03    
134     5.7152e-03    2.8718e-03    2.7226e-03    1.5229e-03    
135     5.7418e-03    2.9083e-03    2.7184e-03    1.4781e-03    
136     5.7541e-03    2.9436e-03    2.7670e-03    1.4477e-03    
137     5.7754e-03    2.9813e-03    2.8533e-03    1.4219e-03    
138     5.7935e-03    3.0270e-03    2.9055e-03    1.3754e-03    
139     5.7856e-03    3.0396e-03    2.7870e-03    1.4136e-03    
140     5.7841e-03    2.9916e-03    2.7295e-03    1.4049e-03    
141     5.7490e-03    2.8987e-03    2.6532e-03    1.4522e-03    
142     5.7022e-03    2.8155e-03    2.6270e-03    1.3971e-03    
143     5.6790e-03    2.7954e-03    2.6195e-03    1.3436e-03    
144     5.6838e-03    2.8647e-03    2.6995e-03    1.3856e-03    
145     5.7224e-03    2.9824e-03    2.6541e-03    1.3326e-03    
146     5.8021e-03    3.0802e-03    2.7145e-03    1.3862e-03    
147     5.8558e-03    3.1224e-03    2.7700e-03    1.3522e-03    
148     5.8208e-03    3.0723e-03    2.7203e-03    1.3230e-03    
149     5.7614e-03    2.9846e-03    2.6561e-03    1.2976e-03    
150     5.7336e-03    2.9355e-03    2.6885e-03    1.3005e-03    
151     5.7105e-03    2.9733e-03    2.6511e-03    1.2580e-03    
152     5.7222e-03    3.1044e-03    2.6413e-03    1.3471e-03    
153     5.7921e-03    3.2098e-03    2.6937e-03    1.3699e-03    
154     5.8572e-03    3.2772e-03    2.9306e-03    1.6106e-03    
155     5.8803e-03    3.3529e-03    2.9052e-03    1.8294e-03    
156     5.9349e-03    3.3901e-03    2.9425e-03    2.0647e-03    
157     6.0067e-03    3.3800e-03    2.8727e-03    1.5953e-03    
158     6.0620e-03    3.4351e-03    2.8879e-03    1.6157e-03    
159     6.1082e-03    3.5274e-03    2.8022e-03    1.6482e-03    
160     6.1280e-03    3.5605e-03    2.8568e-03    1.6173e-03    
161     6.1216e-03    3.5077e-03    2.9059e-03    1.6828e-03    
162     6.0828e-03    3.4197e-03    2.9542e-03    1.8871e-03    
163     6.0681e-03    3.3154e-03    2.9121e-03    1.7176e-03    
164     6.1096e-03    3.2929e-03    2.9681e-03    1.8087e-03    
165     6.1704e-03    3.3851e-03    2.9193e-03    1.7835e-03    
166     6.2557e-03    3.5299e-03    2.8774e-03    1.7617e-03    
167     6.3580e-03    3.6474e-03    2.9274e-03    1.7468e-03    
168     6.4104e-03    3.6750e-03    2.9970e-03    1.8000e-03    
169     6.4148e-03    3.5949e-03    3.0024e-03    1.8523e-03    
170     6.4165e-03    3.4679e-03    2.9870e-03    1.8468e-03    
171     6.3996e-03    3.3688e-03    2.9140e-03    1.8925e-03    
172     6.3921e-03    3.3232e-03    2.9456e-03    1.8391e-03    
173     6.3683e-03    3.3385e-03    2.9051e-03    1.8144e-03    
174     6.3299e-03    3.3924e-03    2.9664e-03    1.7953e-03    
175     6.2803e-03    3.4379e-03    2.9700e-03    1.8100e-03    
176     6.2591e-03    3.4239e-03    3.0836e-03    1.8895e-03    
177     6.2587e-03    3.4122e-03    3.0275e-03    1.9151e-03    
178     6.2741e-03    3.4575e-03    2.9437e-03    1.9487e-03    
