time_rel,quantity,method,loss_mean,loss_std,loss_median,loss_p95,n_traj
2.1,KineticEnergyAbsLoss,GNOT,2.499657372633616e-05,2.7419221184022093e-05,1.5606172382831573e-05,8.815070614218711e-05,30
2.2,KineticEnergyAbsLoss,GNOT,2.6997473711768785e-05,2.6930195268223887e-05,1.9789207726716995e-05,8.56137834489345e-05,30
2.3000000000000003,KineticEnergyAbsLoss,GNOT,2.9157272850473723e-05,2.7975386219229808e-05,2.128351479768753e-05,9.250664152204986e-05,30
2.4000000000000004,KineticEnergyAbsLoss,GNOT,3.052577376365662e-05,3.0033236911347536e-05,2.163788303732872e-05,9.726765565574166e-05,30
2.5,KineticEnergyAbsLoss,GNOT,3.207942160467307e-05,3.229124769415385e-05,1.9515864551067352e-05,0.0001007905229926109,30
2.6,KineticEnergyAbsLoss,GNOT,3.2989416892329854e-05,3.472041917728862e-05,2.079783007502556e-05,0.0001007484272122383,30
2.7,KineticEnergyAbsLoss,GNOT,3.380722676714261e-05,3.620626662094161e-05,1.9750557839870453e-05,9.907917119562626e-05,30
2.8000000000000003,KineticEnergyAbsLoss,GNOT,3.3704905460278195e-05,3.74055648276191e-05,1.9152648746967316e-05,0.00010293880477547643,30
2.9000000000000004,KineticEnergyAbsLoss,GNOT,3.481355185310046e-05,3.737266432587878e-05,1.8920283764600754e-05,0.00010683154687285417,30
3.0,KineticEnergyAbsLoss,GNOT,3.6237528547644615e-05,3.888129557010498e-05,1.7594080418348312e-05,0.00011485707946121686,30
3.1,KineticEnergyAbsLoss,GNOT,3.771865740418434e-05,4.082376153046111e-05,1.989351585507393e-05,0.00012504006735980508,30
3.2,KineticEnergyAbsLoss,GNOT,3.93517625828584e-05,4.256655259483806e-05,2.064695581793785e-05,0.00013361754827201364,30
3.3000000000000003,KineticEnergyAbsLoss,GNOT,4.166608365873496e-05,4.294319471967607e-05,2.5935471057891846e-05,0.00013715596869587893,30
3.4000000000000004,KineticEnergyAbsLoss,GNOT,4.352061077952385e-05,4.339292253462241e-05,3.054458647966385e-05,0.00013850261457264414,30
3.5,KineticEnergyAbsLoss,GNOT,4.610344767570495e-05,4.339297323758999e-05,3.392621874809265e-05,0.00014365664683282364,30
3.6,KineticEnergyAbsLoss,GNOT,4.813813914855321e-05,4.49877458565633e-05,3.280211240053177e-05,0.00014626672491431227,30
3.7,KineticEnergyAbsLoss,GNOT,4.986322795351346e-05,4.7560194634858535e-05,3.147311508655548e-05,0.00015727430582046498,30
3.8000000000000003,KineticEnergyAbsLoss,GNOT,5.0982522467772165e-05,4.891607023840908e-05,3.1225383281707764e-05,0.0001653463579714297,30
3.9000000000000004,KineticEnergyAbsLoss,GNOT,5.120718851685524e-05,4.9172523029624496e-05,3.3694785088300705e-05,0.0001615145243704318,30
4.0,KineticEnergyAbsLoss,GNOT,5.0871260464191435e-05,4.854630866075471e-05,3.420840948820114e-05,0.00016183396801352498,30
4.1000000000000005,KineticEnergyAbsLoss,GNOT,5.220736687382062e-05,4.72003254220583e-05,3.500934690237045e-05,0.00015760948881506917,30
4.2,KineticEnergyAbsLoss,GNOT,5.362903078397115e-05,4.7806395224336395e-05,3.891531378030777e-05,0.00015422729775309562,30
4.3,KineticEnergyAbsLoss,GNOT,5.37277664989233e-05,4.874428635150813e-05,3.400538116693497e-05,0.0001530857756733894,30
4.4,KineticEnergyAbsLoss,GNOT,5.30571211129427e-05,4.9435734191608046e-05,3.0333176255226135e-05,0.00015602773055434224,30
4.5,KineticEnergyAbsLoss,GNOT,5.18561185648044e-05,4.791267183525921e-05,3.08845192193985e-05,0.0001491719856858253,30
4.6000000000000005,KineticEnergyAbsLoss,GNOT,5.142173419396082e-05,4.5339346206006274e-05,3.652367740869522e-05,0.00013856021687388411,30
4.7,KineticEnergyAbsLoss,GNOT,5.158139392733574e-05,4.367931066996067e-05,3.90857458114624e-05,0.00013077342882752413,30
