time_rel,quantity,method,corner,loss_mean,loss_std,loss_median,loss_p95,n_traj
0.1,CornerVorticityAbsL2Loss,GNOT,BL,0.0007094521410181187,0.00045784288193969724,0.000553820573259145,0.001657692249864339,30
0.2,CornerVorticityAbsL2Loss,GNOT,BL,0.0008281525758017475,0.0006173530842749419,0.0005914621578995138,0.0018684951821342107,30
0.30000000000000004,CornerVorticityAbsL2Loss,GNOT,BL,0.0008844442917810132,0.0006940327981056313,0.0006181424832902849,0.002025597018655389,30
0.4,CornerVorticityAbsL2Loss,GNOT,BL,0.0009245958251995034,0.0007410379597520715,0.0006197474140208215,0.002110788773279637,30
0.5,CornerVorticityAbsL2Loss,GNOT,BL,0.0009687803200601289,0.0007869747298891675,0.0006120266916695982,0.002454596280585974,30
0.6000000000000001,CornerVorticityAbsL2Loss,GNOT,BL,0.001017265024711378,0.000822771361636636,0.0006674174219369888,0.0028928070096299044,30
0.7000000000000001,CornerVorticityAbsL2Loss,GNOT,BL,0.0010471477149015603,0.0008656130992743147,0.0006681292434222996,0.003032065578736365,30
0.8,CornerVorticityAbsL2Loss,GNOT,BL,0.0010702105161423485,0.0009231767963613385,0.0006577829481102526,0.0030277959536761036,30
0.9,CornerVorticityAbsL2Loss,GNOT,BL,0.0011110700589294234,0.0009824030203911625,0.000658218894386664,0.00305215399712324,30
1.0,CornerVorticityAbsL2Loss,GNOT,BL,0.001160064472060185,0.0010199896817371923,0.0006801121344324201,0.0029859556118026357,30
1.1,CornerVorticityAbsL2Loss,GNOT,BL,0.0011964882602721143,0.0010527683804660989,0.00075356854358688,0.002974954654928295,30
1.2000000000000002,CornerVorticityAbsL2Loss,GNOT,BL,0.0012182061172400912,0.0010841096764532174,0.0007910673739388585,0.003032719355542212,30
1.3,CornerVorticityAbsL2Loss,GNOT,BL,0.0012367575958099526,0.0010971968399409746,0.0007818809244781733,0.0031142718973569557,30
1.4000000000000001,CornerVorticityAbsL2Loss,GNOT,BL,0.0012266552837293906,0.0010359933288964565,0.0007959689537528902,0.0027737122843973327,30
1.5,CornerVorticityAbsL2Loss,GNOT,BL,0.0012134866400932273,0.0009447939184979992,0.0008109484624583274,0.0023964990512467923,30
