Method,time_rel,E_u_cl_abs_ensemble_rms_L2,E_v_cl_abs_ensemble_rms_L2,E_cl_abs_ensemble_rms_L2
GNOT,0.1,0.00015820344402353684,0.00017987077638492404,0.00016903711020423043
GNOT,0.2,0.00021448434314908434,0.00023434916833037293,0.00022441675573972862
GNOT,0.30000000000000004,0.00027092389948392095,0.000267308094254036,0.0002691159968689785
GNOT,0.4,0.0003126772976248206,0.0003061541340067096,0.0003094157158157651
GNOT,0.5,0.00033917598967696255,0.00034072285125802355,0.00033994942046749305
GNOT,0.6000000000000001,0.0003705167737425631,0.0003493181166170904,0.0003599174451798268
GNOT,0.7000000000000001,0.0003943725880411261,0.0003899907030077943,0.0003921816455244602
GNOT,0.8,0.00041120277132887,0.0004083475131673989,0.00040977514224813447
GNOT,0.9,0.00042829638373399705,0.00043540775712726893,0.000431852070430633
GNOT,1.0,0.00044123356760590647,0.00047612717838119205,0.0004586803729935493
GNOT,1.1,0.0004462951329876106,0.0004719894559757369,0.00045914229448167375
GNOT,1.2000000000000002,0.00044683520111553604,0.00047293062529931123,0.00045988291320742363
GNOT,1.3,0.0004497114544309661,0.00047866422275117694,0.0004641878385910715
GNOT,1.4000000000000001,0.00045178585046395654,0.00047663435889553187,0.0004642101046797442
GNOT,1.5,0.00046226395951970287,0.000469373066544809,0.0004658185130322559
GNOT,1.6,0.0004740670748172676,0.0004719922809932306,0.0004730296779052491
GNOT,1.7000000000000002,0.0004933196083165538,0.0004778990710472705,0.0004856093396819122
GNOT,1.8,0.0005176388355181096,0.0004825186073722558,0.0005000787214451827
GNOT,1.9000000000000001,0.000539732445781351,0.00047779126228022774,0.0005087618540307894
GNOT,2.0,0.0005588251061452253,0.0004884860998846804,0.0005236556030149529
GNOT,2.1,0.0005807596543937577,0.0005006389740292978,0.0005406993142115278
GNOT,2.2,0.0005999977763556509,0.0004928134958234871,0.0005464056360895691
GNOT,2.3000000000000003,0.0006120860946337276,0.0004939844179290806,0.0005530352562814041
GNOT,2.4000000000000004,0.0006267492978458605,0.0005039498934340023,0.0005653495956399314
GNOT,2.5,0.0006395872800244258,0.0005077725344220916,0.0005736799072232587
GNOT,2.6,0.0006460347868590224,0.0005179543948473252,0.0005819945908531739
GNOT,2.7,0.0006430810598980733,0.0005298659193462112,0.0005864734896221422
GNOT,2.8000000000000003,0.0006386903677161926,0.0005408527319013676,0.0005897715498087801
GNOT,2.9000000000000004,0.0006387344279017207,0.0005629834730999288,0.0006008589505008248
GNOT,3.0,0.0006460838218826312,0.0005889974927763643,0.0006175406573294977
GNOT,3.1,0.0006552849616961315,0.0006084052737073746,0.0006318451177017531
GNOT,3.2,0.0006629211605612232,0.0006267951934552472,0.0006448581770082352
GNOT,3.3000000000000003,0.0006640105770819826,0.0006489565886633045,0.0006564835828726436
GNOT,3.4000000000000004,0.000672362022280506,0.0006764176278531567,0.0006743898250668313
GNOT,3.5,0.000687366479620301,0.0006933472585850498,0.0006903568691026754
GNOT,3.6,0.0007024214723165258,0.0006993936301632975,0.0007009075512399116
GNOT,3.7,0.0007188283197083717,0.0007067170203786041,0.0007127726700434879
GNOT,3.8000000000000003,0.0007314049701072109,0.000710812212785758,0.0007211085914464845
GNOT,3.9000000000000004,0.0007399730329179561,0.0007228043343270777,0.0007313886836225169
GNOT,4.0,0.0007468702715935884,0.0007343311519938654,0.0007406007117937269
GNOT,4.1000000000000005,0.000754254069277508,0.0007428933200174108,0.0007485736946474593
GNOT,4.2,0.0007589543938309843,0.0007458661481169864,0.0007524102709739853
GNOT,4.3,0.0007476087990255465,0.0007483683698552067,0.0007479885844403766
GNOT,4.4,0.0007325797024981347,0.000745942668428493,0.0007392611854633138
GNOT,4.5,0.0007186686778122327,0.0007392691528511714,0.000728968915331702
GNOT,4.6000000000000005,0.0007063503186461096,0.0007312842144706728,0.0007188172665583912
GNOT,4.7,0.0006974192868911864,0.0007209648930006174,0.0007091920899459018
GNOT,4.800000000000001,0.0006969187530543712,0.0007198019406070567,0.000708360346830714
GNOT,4.9,0.0006963031220767889,0.0007309651481097398,0.0007136341350932644
GNOT,5.0,0.0006949401161664497,0.0007391423448685967,0.0007170412305175232
GNOT,5.1000000000000005,0.0006975158951494725,0.0007398523525661111,0.0007186841238577918
GNOT,5.2,0.000703556379264302,0.0007277060589183373,0.0007156312190913196
GNOT,5.300000000000001,0.000711629120571503,0.0007126339651268321,0.0007121315428491675
GNOT,5.4,0.0007202280224108621,0.0006986315514064739,0.0007094297869086679
GNOT,5.5,0.0007337986594169111,0.0006729702776818881,0.0007033844685493996
GNOT,5.6000000000000005,0.0007483943447775033,0.0006636618242316431,0.0007060280845045732
GNOT,5.7,0.0007629290944670989,0.0006612050303456514,0.0007120670624063752
GNOT,5.800000000000001,0.0007676509108169948,0.0006549120116831695,0.0007112814612500822
GNOT,5.9,0.0007694621983868593,0.0006386501406932644,0.0007040561695400619
GNOT,6.0,0.0007731392906415515,0.0006339284842625158,0.0007035338874520336
GNOT,6.1000000000000005,0.0007779031585378868,0.0006318589950271196,0.0007048810767825032
GNOT,6.2,0.0007777824731015032,0.0006240218171631918,0.0007009021451323475
GNOT,6.300000000000001,0.0007736700235085483,0.0006150119834020932,0.0006943410034553207
GNOT,6.4,0.0007682676782669917,0.0006061626144894588,0.0006872151463782252
GNOT,6.5,0.0007639453686828604,0.000597850335912717,0.0006808978522977887
GNOT,6.6000000000000005,0.0007561102958382551,0.0005940779388223974,0.0006750941173303262
GNOT,6.7,0.0007473853601567977,0.0005965965798107815,0.0006719909699837896
GNOT,6.800000000000001,0.0007342583407817954,0.0006042857691811878,0.0006692720549814916
GNOT,6.9,0.0007237430914182018,0.0006165554881797607,0.0006701492897989812
GNOT,7.0,0.0007261552839617221,0.0006256503365076486,0.0006759028102346854
GNOT,7.1000000000000005,0.0007344013909553316,0.0006277698341520657,0.0006810856125536986
GNOT,7.2,0.000738671793778175,0.0006215659946795753,0.0006801188942288751
GNOT,7.300000000000001,0.000737400732715019,0.000612000165018736,0.0006747004488668776
GNOT,7.4,0.0007369910808233694,0.000610312665471474,0.0006736518731474217
GNOT,7.5,0.0007304246804476945,0.0006110711003617838,0.0006707478904047392
GNOT,7.6000000000000005,0.0007309141603611139,0.0006147990464967221,0.000672856603428918
GNOT,7.7,0.0007406924940619273,0.0006255032964832751,0.0006830978952726012
GNOT,7.800000000000001,0.0007538870359527976,0.0006409427312514633,0.0006974148836021304
GNOT,7.9,0.0007619498938000545,0.0006475855372856581,0.0007047677155428563
GNOT,8.0,0.0007592198586745156,0.000653221591049251,0.0007062207248618833
GNOT,8.1,0.0007538338072659531,0.0006699465653485914,0.0007118901863072723
GNOT,8.200000000000001,0.0007517713294892225,0.0006866482173985277,0.0007192097734438751
GNOT,8.3,0.0007512360835194782,0.0006944828258238557,0.0007228594546716669
GNOT,8.4,0.0007558670858165543,0.0007015130457179325,0.0007286900657672434
GNOT,8.5,0.0007615088572853526,0.0007104636688429177,0.0007359862630641351
GNOT,8.6,0.0007673499258861547,0.0007209310929347893,0.000744140509410472
GNOT,8.700000000000001,0.0007671834828324453,0.0007349384074674797,0.0007510609451499624
GNOT,8.8,0.0007649637467421465,0.0007545078505401927,0.0007597357986411696
