Cell-Center Velocity Error Report
Input NetCDF: gnot_predictions_30cases_400steps.nc
Trajectories: 30   Steps: 400
Reference variables: gt_u, gt_v
CC grid: 64 x 64

Metrics:
  RelL2 = sqrt(sum(du^2)+sum(dv^2)) / sqrt(sum(u_ref^2)+sum(v_ref^2))
  MaxErr = max sqrt(du^2 + dv^2)


============================================================
  Method: GNOT
============================================================
Step    RelL2_mean    RelL2_std     MaxErr_mean   MaxErr_std    
85      3.7523e-03    1.8234e-03    2.2343e-03    1.0933e-03    
86      3.7796e-03    1.8567e-03    2.1642e-03    1.1486e-03    
87      3.7906e-03    1.8776e-03    2.1590e-03    1.1500e-03    
88      3.8130e-03    1.8750e-03    2.2261e-03    1.1621e-03    
89      3.8192e-03    1.8516e-03    2.2145e-03    1.2256e-03    
90      3.8120e-03    1.8437e-03    2.2280e-03    1.2212e-03    
91      3.8034e-03    1.8740e-03    2.2433e-03    1.2962e-03    
92      3.8012e-03    1.9279e-03    2.1936e-03    1.3072e-03    
93      3.8384e-03    1.9858e-03    2.2953e-03    1.2862e-03    
94      3.8683e-03    2.0448e-03    2.3111e-03    1.3197e-03    
95      3.8878e-03    2.1041e-03    2.3178e-03    1.2402e-03    
96      3.9368e-03    2.1547e-03    2.3109e-03    1.1802e-03    
97      3.9761e-03    2.2167e-03    2.2375e-03    1.2303e-03    
98      4.0192e-03    2.2733e-03    2.2863e-03    1.1905e-03    
99      4.0576e-03    2.3390e-03    2.2102e-03    1.1897e-03    
100     4.0844e-03    2.3988e-03    2.2550e-03    1.2320e-03    
101     4.0842e-03    2.4375e-03    2.2879e-03    1.2230e-03    
102     4.0543e-03    2.4588e-03    2.2310e-03    1.2013e-03    
103     4.0311e-03    2.4460e-03    2.2593e-03    1.2572e-03    
104     4.0022e-03    2.4304e-03    2.3126e-03    1.3223e-03    
105     4.0023e-03    2.4343e-03    2.3296e-03    1.3923e-03    
106     4.0311e-03    2.4295e-03    2.2753e-03    1.4318e-03    
107     4.0424e-03    2.3830e-03    2.2888e-03    1.4790e-03    
108     4.0323e-03    2.2635e-03    2.2830e-03    1.3648e-03    
109     3.9787e-03    2.1132e-03    2.2218e-03    1.2739e-03    
110     3.9277e-03    1.9880e-03    2.2185e-03    1.2298e-03    
111     3.9222e-03    1.9012e-03    2.2567e-03    1.2090e-03    
112     3.9497e-03    1.8428e-03    2.2760e-03    1.1417e-03    
113     3.9596e-03    1.8180e-03    2.2836e-03    1.0861e-03    
114     3.9511e-03    1.8017e-03    2.2202e-03    1.0929e-03    
115     3.9397e-03    1.7698e-03    2.1672e-03    1.0949e-03    
116     3.9125e-03    1.7425e-03    2.1719e-03    1.0696e-03    
117     3.8759e-03    1.7172e-03    2.1747e-03    1.1003e-03    
118     3.8661e-03    1.6882e-03    2.2091e-03    1.1178e-03    
119     3.8745e-03    1.6739e-03    2.2455e-03    1.1202e-03    
120     3.8949e-03    1.6888e-03    2.2850e-03    1.1591e-03    
121     3.9244e-03    1.7099e-03    2.2519e-03    1.0932e-03    
122     3.9472e-03    1.7558e-03    2.2321e-03    1.1198e-03    
123     3.9878e-03    1.8367e-03    2.3445e-03    1.3066e-03    
124     4.0368e-03    1.9209e-03    2.4737e-03    1.4419e-03    
125     4.0427e-03    1.9813e-03    2.6512e-03    1.8347e-03    
126     4.0669e-03    2.0311e-03    2.4885e-03    1.7009e-03    
127     4.1013e-03    2.0226e-03    2.5110e-03    1.4585e-03    
128     4.1127e-03    1.9907e-03    2.4274e-03    1.1859e-03    
129     4.1299e-03    1.9882e-03    2.4522e-03    1.1786e-03    
130     4.1358e-03    1.9649e-03    2.4059e-03    1.1516e-03    
131     4.1310e-03    1.9193e-03    2.4833e-03    1.2709e-03    
132     4.1357e-03    1.9014e-03    2.5036e-03    1.2928e-03    
133     4.1341e-03    1.9174e-03    2.4786e-03    1.2339e-03    
134     4.1219e-03    1.9347e-03    2.4672e-03    1.2245e-03    
135     4.1163e-03    1.9314e-03    2.4625e-03    1.2310e-03    
136     4.0947e-03    1.9295e-03    2.5067e-03    1.3699e-03    
137     4.1039e-03    1.8886e-03    2.5184e-03    1.2785e-03    
138     4.1214e-03    1.8896e-03    2.5206e-03    1.2139e-03    
139     4.1244e-03    1.9217e-03    2.5465e-03    1.2372e-03    
140     4.1527e-03    1.9545e-03    2.5068e-03    1.2443e-03    
141     4.1574e-03    1.9638e-03    2.5180e-03    1.2144e-03    
142     4.1372e-03    1.9281e-03    2.4259e-03    1.1536e-03    
143     4.1013e-03    1.8384e-03    2.3409e-03    1.0718e-03    
144     4.0711e-03    1.7598e-03    2.3296e-03    1.0131e-03    
145     4.1030e-03    1.7510e-03    2.3117e-03    9.9077e-04    
146     4.1633e-03    1.8116e-03    2.3193e-03    1.0773e-03    
147     4.2377e-03    1.8912e-03    2.3620e-03    1.0879e-03    
148     4.3140e-03    2.0022e-03    2.5167e-03    1.1741e-03    
149     4.3765e-03    2.1301e-03    2.5617e-03    1.2614e-03    
150     4.4019e-03    2.2589e-03    2.6636e-03    1.2681e-03    
151     4.4205e-03    2.3869e-03    2.6548e-03    1.3626e-03    
152     4.4413e-03    2.4829e-03    2.6017e-03    1.2982e-03    
153     4.4685e-03    2.5395e-03    2.5723e-03    1.3261e-03    
154     4.4639e-03    2.5649e-03    2.5406e-03    1.3704e-03    
155     4.4420e-03    2.5722e-03    2.5284e-03    1.3588e-03    
156     4.4384e-03    2.5467e-03    2.4524e-03    1.2895e-03    
157     4.4600e-03    2.4967e-03    2.4689e-03    1.2158e-03    
158     4.4636e-03    2.4868e-03    2.4610e-03    1.3040e-03    
159     4.4513e-03    2.5052e-03    2.3756e-03    1.1714e-03    
160     4.4449e-03    2.5161e-03    2.3653e-03    1.2210e-03    
161     4.4427e-03    2.4975e-03    2.3782e-03    1.2594e-03    
162     4.4220e-03    2.4495e-03    2.3871e-03    1.2048e-03    
163     4.4040e-03    2.3908e-03    2.3887e-03    1.1951e-03    
164     4.4307e-03    2.3445e-03    2.4712e-03    1.1676e-03    
165     4.4762e-03    2.3312e-03    2.4485e-03    1.2077e-03    
166     4.5078e-03    2.3503e-03    2.5223e-03    1.2222e-03    
167     4.5306e-03    2.3958e-03    2.5125e-03    1.1633e-03    
168     4.5470e-03    2.4009e-03    2.5002e-03    1.3054e-03    
169     4.5264e-03    2.3619e-03    2.4650e-03    1.3135e-03    
170     4.5007e-03    2.3053e-03    2.4285e-03    1.3900e-03    
171     4.4795e-03    2.2160e-03    2.3867e-03    1.2328e-03    
172     4.4626e-03    2.1309e-03    2.4260e-03    1.2456e-03    
173     4.4037e-03    2.0746e-03    2.4171e-03    1.2047e-03    
174     4.3384e-03    2.0535e-03    2.4444e-03    1.2597e-03    
175     4.2861e-03    2.0690e-03    2.4601e-03    1.2880e-03    
176     4.2789e-03    2.0732e-03    2.6130e-03    1.3711e-03    
177     4.3010e-03    2.0730e-03    2.6026e-03    1.3939e-03    
178     4.2981e-03    2.0599e-03    2.6317e-03    1.4511e-03    
179     4.3164e-03    2.0891e-03    2.6364e-03    1.5190e-03    
180     4.3502e-03    2.1818e-03    2.6692e-03    1.7440e-03    
181     4.3447e-03    2.3030e-03    2.7072e-03    1.9857e-03    
182     4.3245e-03    2.3041e-03    2.7176e-03    1.9604e-03    
183     4.3159e-03    2.2079e-03    2.7099e-03    1.6861e-03    
184     4.2903e-03    2.1421e-03    2.7262e-03    1.6308e-03    
185     4.2921e-03    2.1482e-03    2.7448e-03    1.5971e-03    
186     4.3395e-03    2.2434e-03    2.7606e-03    1.7469e-03    
187     4.4080e-03    2.4130e-03    2.7769e-03    1.9047e-03    
188     4.4573e-03    2.5879e-03    2.8301e-03    1.9490e-03    
