Method,time_rel,E_u_cl_abs_ensemble_rms_L2,E_v_cl_abs_ensemble_rms_L2,E_cl_abs_ensemble_rms_L2
FNO,0.1,0.00014105118594189413,0.00014017165862087496,0.00014061142228138454
FNO,0.2,0.00021262437087274567,0.00021427331770307404,0.00021344884428790986
FNO,0.30000000000000004,0.0002580761140375903,0.00026611031803909887,0.0002620932160383446
FNO,0.4,0.0002938236650541869,0.0003182033064708168,0.00030601348576250184
FNO,0.5,0.00033798032302971337,0.0003611498136152823,0.00034956506832249786
FNO,0.6000000000000001,0.00036858936051028694,0.0003951320275731203,0.0003818606940417036
FNO,0.7000000000000001,0.0003947189208653837,0.00042755180933413007,0.0004111353650997569
FNO,0.8,0.00041598883599707967,0.0004507627558089996,0.0004333757959030396
FNO,0.9,0.0004414674800200441,0.000462919453092469,0.00045219346655625656
FNO,1.0,0.00047315924418560117,0.0004729068250322925,0.0004730330346089469
FNO,1.1,0.0005045248433534021,0.00048735229901937115,0.0004959385711863866
FNO,1.2000000000000002,0.0005402912336690893,0.0005023201709832979,0.0005213057023261936
FNO,1.3,0.0005649038008881955,0.0005208369370393223,0.0005428703689637588
FNO,1.4000000000000001,0.0005849454760238077,0.0005326002978741933,0.0005587728869490005
FNO,1.5,0.0006133743923465055,0.0005490175133324616,0.0005811959528394836
FNO,1.6,0.0006320495181444312,0.0005574392711066251,0.0005947443946255281
FNO,1.7000000000000002,0.0006465479745057138,0.000560116690917564,0.0006033323327116389
FNO,1.8,0.0006641225481467991,0.000560340401038969,0.0006122314745928841
FNO,1.9000000000000001,0.00068651361005752,0.0005571092425039674,0.0006218114262807437
FNO,2.0,0.000696325585719898,0.0005553457660611851,0.0006258356758905416
FNO,2.1,0.0007096167150463415,0.0005509749237328436,0.0006302958193895925
FNO,2.2,0.0007253897722401915,0.0005457198113325671,0.0006355547917863793
FNO,2.3000000000000003,0.0007324411082853415,0.0005475485611948252,0.0006399948347400833
FNO,2.4000000000000004,0.0007374574615878135,0.0005534058843767643,0.000645431672982289
FNO,2.5,0.0007415623374196744,0.000570468983123518,0.0006560156602715962
FNO,2.6,0.0007378349465106388,0.0005856369828622185,0.0006617359646864287
FNO,2.7,0.0007220358867756576,0.0006026853287516184,0.000662360607763638
FNO,2.8000000000000003,0.0007112625239618296,0.0006174730020495074,0.0006643677630056685
FNO,2.9000000000000004,0.0006985341356606675,0.0006344932664825402,0.0006665137010716039
FNO,3.0,0.0006921242410626016,0.0006554172739412481,0.0006737707575019249
FNO,3.1,0.0006838514437880434,0.0006760782069341633,0.0006799648253611034
FNO,3.2,0.0006831290198563741,0.0007014984829978721,0.0006923137514271232
FNO,3.3000000000000003,0.0006769592602306777,0.000732101172308906,0.0007045302162697919
FNO,3.4000000000000004,0.0006752400070655157,0.0007510184859854057,0.0007131292465254607
FNO,3.5,0.0006927992258142881,0.0007638823482064576,0.0007283407870103728
FNO,3.6,0.0007097045470868743,0.0007762942233473548,0.0007429993852171145
FNO,3.7,0.0007216985590217735,0.0007851279447577479,0.0007534132518897607
FNO,3.8000000000000003,0.00074013995192538,0.0007889136727386463,0.0007645268123320131
FNO,3.9000000000000004,0.0007448725581042913,0.0007915081054100858,0.0007681903317571885
FNO,4.0,0.000752153249703335,0.0007979663970915779,0.0007750598233974565
FNO,4.1000000000000005,0.0007722229215655352,0.0008040888728397855,0.0007881558972026603
FNO,4.2,0.0007881211263523515,0.0008037051040789567,0.0007959131152156541
FNO,4.3,0.0007994604860752222,0.0007967310887012088,0.0007980957873882155
FNO,4.4,0.0008146007494446778,0.0007857446003053518,0.0008001726748750148
FNO,4.5,0.0008347585462152567,0.0007811600837001023,0.0008079593149576795
FNO,4.6000000000000005,0.0008540155725878203,0.0007773716132529568,0.0008156935929203885
FNO,4.7,0.0008731571525205529,0.0007714433989147485,0.0008223002757176507
FNO,4.800000000000001,0.0008947800238189575,0.0007604588497457451,0.0008276194367823513
FNO,4.9,0.0009091027210604732,0.0007541158973834121,0.0008316093092219426
FNO,5.0,0.0009156414287753085,0.0007535129739076759,0.0008345772013414922
FNO,5.1000000000000005,0.0009267083852549237,0.0007572849657630841,0.0008419966755090039
FNO,5.2,0.0009419202979697566,0.0007647681745603323,0.0008533442362650444
FNO,5.300000000000001,0.0009578739134780449,0.0007741061497041266,0.0008659900315910857
FNO,5.4,0.0009723444834209118,0.0007862243602657766,0.0008792844218433443
FNO,5.5,0.0009799634891403653,0.0007988301265529096,0.0008893968078466374
FNO,5.6000000000000005,0.000985340744748362,0.0008053277345775247,0.0008953342396629434
FNO,5.7,0.000990272457825682,0.0008121756896934582,0.0009012240737595701
FNO,5.800000000000001,0.0009872380507265227,0.0008160217713226762,0.0009016299110245994
FNO,5.9,0.000981134510884908,0.000823096379749632,0.00090211544531727
FNO,6.0,0.0009756880144870951,0.0008283480294757421,0.0009020180219814185
FNO,6.1000000000000005,0.0009792327210915966,0.0008326055884230493,0.0009059191547573229
FNO,6.2,0.0009729270699660073,0.0008386119560755826,0.000905769513020795
FNO,6.300000000000001,0.0009673320190778897,0.0008448393726682499,0.0009060856958730697
FNO,6.4,0.0009678094100034544,0.0008490609208145023,0.0009084351654089784
FNO,6.5,0.0009639599133663538,0.0008583658596983877,0.0009111628865323708
FNO,6.6000000000000005,0.0009645686308687191,0.0008640734177051937,0.0009143210242869564
FNO,6.7,0.0009617153231542741,0.0008671731670378082,0.0009144442450960412
FNO,6.800000000000001,0.0009565715232385732,0.0008764815135644384,0.0009165265184015057
FNO,6.9,0.0009505034688727705,0.0008884910763044811,0.0009194972725886257
FNO,7.0,0.000950156969624891,0.0008993369398179982,0.0009247469547214446
FNO,7.1000000000000005,0.000954534307377079,0.0009064525589247926,0.0009304934331509358
FNO,7.2,0.0009529317901605539,0.0009146198836480321,0.000933775836904293
FNO,7.300000000000001,0.000959480097797429,0.0009240298680453054,0.0009417549829213672
FNO,7.4,0.0009725269932142913,0.000937191427099107,0.0009548592101566992
FNO,7.5,0.0009800145081927,0.0009540833624588385,0.0009670489353257692
FNO,7.6000000000000005,0.0009891953270269602,0.0009682990594168551,0.0009787471932219075
FNO,7.7,0.0009953932906726214,0.0009822212644623853,0.0009888072775675032
FNO,7.800000000000001,0.000998596772619912,0.000991643742841409,0.0009951202577306605
FNO,7.9,0.0010029266730844184,0.0010007198365722387,0.0010018232548283286
FNO,8.0,0.0010047238006158019,0.0010068228413501732,0.0010057733209829875
FNO,8.1,0.0010021061888361646,0.001010123581854223,0.0010061148853451937
