Method,Seed,HCT_0.95,HCT_0.80,HCT_0.95_steps,HCT_0.80_steps
pure_fno,7,0.3506241800881465,2.664743768669914,4.999999999999999,38.0
pure_fno,8,0.2804993440705172,3.0854927847756897,3.999999999999999,44.0
pure_fno,9,0.6311235241586638,2.664743768669914,9.0,38.0
pure_fno,10,0.2804993440705172,2.664743768669914,3.999999999999999,38.0
pure_fno,11,0.911622868229181,2.454369260617026,13.0,35.0
pure_fno,12,0.4908738521234052,3.0153679487580605,7.0,43.0
pure_fno,13,0.4908738521234052,2.7348686046875432,7.0,39.0
pure_fno,14,0.2103745080528879,1.5427463923878448,3.0,22.0
pure_fno,15,0.3506241800881465,3.0153679487580605,4.999999999999999,43.0
pure_fno,16,0.2804993440705172,2.664743768669914,3.999999999999999,38.0
pure_fno,17,0.5609986881410345,3.155617620793319,8.0,45.0
pure_fno,18,0.4908738521234052,2.1738699165465087,7.0,31.0
pure_fno,19,0.3506241800881465,2.243994752564138,4.999999999999999,32.0
pure_fno,20,0.7012483601762931,2.664743768669914,10.0,38.0
pure_fno,21,0.4207490161057758,2.7348686046875432,5.999999999999999,39.0
pure_fno,22,0.4908738521234052,2.1037450805288795,7.0,30.000000000000004
pure_fno,23,0.2804993440705172,2.8751182767228016,3.999999999999999,41.0
pure_fno,24,0.1402496720352586,2.8049934407051724,2.0,40.0
pure_fno,25,0.2103745080528879,2.8049934407051724,3.0,40.0
pure_fno,26,0.4207490161057758,3.9269908169872414,5.999999999999999,56.0
pure_fno,27,0.2103745080528879,2.3842444245993963,3.0,34.0
pure_fno,28,0.2103745080528879,2.454369260617026,3.0,35.0
pure_fno,29,0.7012483601762931,3.2257424568109485,10.0,46.0
pure_fno,30,0.3506241800881465,2.945243112740431,4.999999999999999,42.0
pure_fno,31,0.4207490161057758,2.314119588581767,5.999999999999999,33.0
Unet,0,3.2257424568109485,4.838613685216423,46.0,69.0
Unet,1,3.786741144951983,5.750236553445603,54.0,82.0
Unet,2,4.3477398330930175,5.539862045392716,62.0,79.0
Unet,3,4.838613685216423,6.311235241586638,69.0,90.0
Unet,4,3.716616308934354,4.838613685216423,53.00000000000001,69.0
Unet,5,3.716616308934354,5.680111717427974,53.00000000000001,81.0
Unet,6,3.786741144951983,5.960611061498492,54.0,85.0
Unet,7,4.768488849198793,7.643607125921595,68.0,109.0
Unet,8,3.856865980969612,5.890486225480862,55.0,84.0
Unet,9,3.786741144951983,4.838613685216423,54.0,69.0
Unet,10,3.5062418008814653,4.558114341145905,50.0,65.0
Unet,11,3.436116964863836,4.768488849198793,49.0,68.0
Unet,12,4.0672404890225,5.399612373357457,58.0,77.0
Unet,13,4.487989505128276,5.11911302928694,64.0,73.0
Unet,14,3.2958672928285777,6.10086073353375,47.0,87.0
Unet,15,3.716616308934354,4.768488849198793,53.00000000000001,68.0
Unet,16,3.2257424568109485,5.329487537339828,46.0,76.0
Unet,17,3.5062418008814653,4.978863357251681,50.0,71.0
Unet,18,3.155617620793319,4.978863357251681,45.0,71.0
Unet,19,3.155617620793319,4.277614997075388,45.0,61.00000000000001
Unet,20,3.646491472916724,4.277614997075388,52.0,61.00000000000001
Unet,21,3.0153679487580605,5.11911302928694,43.0,73.0
Unet,22,3.0854927847756897,4.628239177163534,44.0,66.0
Unet,23,3.436116964863836,5.539862045392716,49.0,79.0
Unet,24,3.0854927847756897,4.838613685216423,44.0,69.0
Unet,25,3.576366636899095,4.628239177163534,51.0,66.0
Unet,26,3.786741144951983,5.259362701322198,54.0,75.0
Unet,27,2.8751182767228016,3.997115653004871,41.0,57.00000000000001
Unet,28,3.155617620793319,4.487989505128276,45.0,64.0
Unet,29,3.365992128846207,4.908738521234052,48.0,70.0
Unet,30,3.436116964863836,5.609986881410345,49.0,80.0
Unet,31,3.9269908169872414,5.609986881410345,56.0,80.0
