Method,Seed,HCT_0.95,HCT_0.80,HCT_0.95_steps,HCT_0.80_steps
baseline_256x256,11,3.646491472916724,5.11911302928694,52.0,73.0
baseline_512x512,11,4.558114341145905,6.451484913621897,65.0,92.0
baseline_1024x1024,11,6.731984257692414,7.924106469992112,96.0,113.0
baseline_2048x2048,11,13.954842367508231,13.954842367508231,199.0,199.0
Ours_Large,11,7.363107781851077,9.817477042468104,105.0,140.0
LI,11,5.680111717427974,7.15273327379819,81.0,102.0
baseline_64x64,12,1.332371884334957,3.2958672928285777,19.0,47.0
baseline_128x128,12,2.03362024451125,4.277614997075388,29.0,61.00000000000001
baseline_256x256,12,4.0672404890225,6.10086073353375,58.0,87.0
baseline_512x512,12,6.10086073353375,8.414980322115518,87.0,120.0
baseline_1024x1024,12,8.414980322115518,10.729099910697284,120.0,153.0
baseline_2048x2048,12,13.954842367508231,13.954842367508231,199.0,199.0
Ours_Large,12,7.503357453886336,9.817477042468104,107.0,140.0
LI,12,6.591734585657155,8.20460581406263,94.0,117.0
baseline_64x64,13,1.332371884334957,3.786741144951983,19.0,54.0
baseline_128x128,13,3.365992128846207,4.628239177163534,48.0,66.0
baseline_256x256,13,4.558114341145905,7.363107781851077,65.0,105.0
baseline_512x512,13,7.292982945833448,8.20460581406263,104.0,117.0
baseline_1024x1024,13,8.625354830168405,10.23822605857388,123.0,146.0
baseline_2048x2048,13,13.954842367508231,13.954842367508231,199.0,199.0
Ours_Large,13,6.942358765745301,8.274730650080258,99.0,118.0
LI,13,6.381360077604267,7.433232617868707,91.0,106.0
baseline_64x64,14,0.911622868229181,3.2257424568109485,13.0,46.0
baseline_128x128,14,2.454369260617026,4.207490161057759,35.0,60.00000000000001
baseline_256x256,14,3.576366636899095,6.170985569551379,51.0,88.0
baseline_512x512,14,5.890486225480862,7.292982945833448,84.0,104.0
baseline_1024x1024,14,7.783856797956854,11.430348270873578,111.0,163.0
baseline_2048x2048,14,13.954842367508231,13.954842367508231,199.0,199.0
Ours_Large,14,8.625354830168405,12.271846303085129,123.0,175.0
LI,14,6.942358765745301,8.555229994150777,99.0,122.0
baseline_64x64,15,1.4726215563702154,3.646491472916724,21.0,52.0
baseline_128x128,15,3.2958672928285777,4.978863357251681,47.0,71.0
baseline_256x256,15,4.628239177163534,6.030735897516121,66.0,86.0
baseline_512x512,15,5.960611061498492,7.573482289903966,85.0,108.0
baseline_1024x1024,15,8.134480978045,9.607102534415215,116.0,137.0
baseline_2048x2048,15,13.954842367508231,13.954842367508231,199.0,199.0
Ours_Large,15,7.924106469992112,9.817477042468104,113.0,140.0
LI,15,6.661859421674785,8.555229994150777,95.0,122.0
baseline_64x64,16,1.0518725402644398,2.3842444245993963,15.000000000000002,34.0
baseline_128x128,16,2.03362024451125,3.155617620793319,29.0,45.0
baseline_256x256,16,2.8751182767228016,5.04898819326931,41.0,72.0
baseline_512x512,16,3.856865980969612,5.680111717427974,55.0,81.0
baseline_1024x1024,16,5.820361389463232,7.012483601762931,82.99999999999999,100.0
baseline_2048x2048,16,13.954842367508231,13.954842367508231,199.0,199.0
Ours_Large,16,5.960611061498491,7.713731961939224,84.99999999999999,110.0
LI,16,5.609986881410345,7.222858109815819,80.0,103.0
baseline_64x64,17,1.6829960644231037,3.155617620793319,24.000000000000004,45.0
baseline_128x128,17,2.945243112740431,4.558114341145905,42.0,65.0
baseline_256x256,17,4.558114341145905,6.170985569551379,65.0,88.0
baseline_512x512,17,6.311235241586638,8.625354830168405,90.0,123.0
baseline_1024x1024,17,8.695479666186035,9.817477042468104,124.0,140.0
baseline_2048x2048,17,13.954842367508231,13.954842367508231,199.0,199.0
Ours_Large,17,6.451484913621897,9.11622868229181,92.0,130.0
LI,17,6.10086073353375,7.783856797956854,87.0,111.0
baseline_64x64,18,1.121997376282069,3.0854927847756897,16.0,44.0
baseline_128x128,18,2.03362024451125,4.558114341145905,29.0,65.0
baseline_256x256,18,3.646491472916724,5.329487537339828,52.0,76.0
baseline_512x512,18,5.329487537339828,6.2411104055690085,76.0,89.0
baseline_1024x1024,18,6.661859421674785,7.783856797956854,95.0,111.0
baseline_2048x2048,18,13.954842367508231,13.954842367508231,199.0,199.0
Ours_Large,18,7.573482289903966,8.765604502203663,108.0,125.0
LI,18,8.274730650080258,9.466852862379955,118.0,134.99999999999997
baseline_64x64,19,1.4024967203525862,2.8751182767228016,20.0,41.0
baseline_128x128,19,2.664743768669914,3.856865980969612,38.0,55.0
baseline_256x256,19,3.436116964863836,5.329487537339828,49.0,76.0
baseline_512x512,19,5.11911302928694,6.311235241586638,73.0,90.0
baseline_1024x1024,19,6.311235241586638,7.643607125921595,90.0,109.0
baseline_2048x2048,19,13.954842367508231,13.954842367508231,199.0,199.0
Ours_Large,19,6.10086073353375,7.222858109815819,87.0,103.0
LI,19,5.539862045392716,6.170985569551379,79.0,88.0
baseline_64x64,20,1.1921222122996982,2.664743768669914,17.0,38.0
baseline_128x128,20,2.454369260617026,3.155617620793319,35.0,45.0
baseline_256x256,20,2.945243112740431,4.0672404890225,42.0,58.0
baseline_512x512,20,4.0672404890225,6.872233929727672,58.0,98.0
baseline_1024x1024,20,6.802109093710043,9.396728026362329,97.0,134.00000000000003
baseline_2048x2048,20,13.954842367508231,13.954842367508231,199.0,199.0
Ours_Large,20,7.292982945833448,9.957726714503362,104.0,142.0
LI,20,5.04898819326931,8.134480978045,72.0,116.0
baseline_64x64,21,1.1921222122996982,2.454369260617026,17.0,35.0
baseline_128x128,21,2.1738699165465087,3.2958672928285777,31.0,47.0
baseline_256x256,21,3.0854927847756897,4.698364013181164,44.0,67.00000000000001
baseline_512x512,21,4.558114341145905,6.802109093710043,65.0,97.0
baseline_1024x1024,21,7.012483601762931,8.414980322115518,100.0,120.0
baseline_2048x2048,21,13.954842367508231,13.954842367508231,199.0,199.0
Ours_Large,21,7.15273327379819,9.3266031903447,102.0,133.0
LI,21,6.591734585657155,8.274730650080258,94.0,118.0
baseline_64x64,22,1.2622470483173276,2.8049934407051724,18.0,40.0
baseline_128x128,22,2.1738699165465087,3.786741144951983,31.0,54.0
baseline_256x256,22,3.5062418008814653,4.838613685216423,50.0,69.0
baseline_512x512,22,4.768488849198793,5.680111717427974,68.0,81.0
baseline_1024x1024,22,5.820361389463232,8.835729338221293,82.99999999999999,126.0
baseline_2048x2048,22,13.954842367508231,13.954842367508231,199.0,199.0
Ours_Large,22,5.750236553445603,7.994231306009741,82.0,114.0
LI,22,4.978863357251681,5.890486225480862,71.0,84.0
baseline_64x64,23,1.332371884334957,3.365992128846207,19.0,48.0
baseline_128x128,23,2.8049934407051724,4.277614997075388,40.0,61.00000000000001
baseline_256x256,23,4.0672404890225,6.311235241586638,58.0,90.0
baseline_512x512,23,6.2411104055690085,7.433232617868707,89.0,106.0
baseline_1024x1024,23,7.853981633974483,9.256478354327069,112.0,132.0
baseline_2048x2048,23,13.954842367508231,13.954842367508231,199.0,199.0
Ours_Large,23,6.591734585657155,8.20460581406263,94.0,117.0
LI,23,6.10086073353375,7.503357453886336,87.0,107.0
baseline_64x64,24,1.0518725402644398,3.576366636899095,15.000000000000002,51.0
baseline_128x128,24,2.8751182767228016,4.558114341145905,41.0,65.0
baseline_256x256,24,4.277614997075388,6.10086073353375,61.00000000000001,87.0
baseline_512x512,24,6.030735897516121,8.20460581406263,86.0,117.0
baseline_1024x1024,24,8.835729338221293,10.658975074679656,126.0,152.0
baseline_2048x2048,24,13.954842367508231,13.954842367508231,199.0,199.0
Ours_Large,24,8.414980322115518,10.448600566626768,120.0,149.0
LI,24,6.030735897516121,7.994231306009741,86.0,114.0
baseline_64x64,25,1.2622470483173276,3.0153679487580605,18.0,43.0
baseline_128x128,25,2.664743768669914,4.137365325040129,38.0,58.99999999999999
baseline_256x256,25,3.997115653004871,5.259362701322198,57.00000000000001,75.0
baseline_512x512,25,5.189237865304569,6.2411104055690085,74.0,89.0
baseline_1024x1024,25,6.451484913621897,7.853981633974483,92.0,112.0
baseline_2048x2048,25,13.954842367508231,13.954842367508231,199.0,199.0
Ours_Large,25,7.012483601762931,8.344855486097888,100.0,119.0
LI,25,5.189237865304569,6.451484913621897,74.0,92.0
baseline_64x64,26,1.5427463923878448,3.2958672928285777,22.0,47.0
baseline_128x128,26,3.155617620793319,4.137365325040129,45.0,58.99999999999999
baseline_256x256,26,3.856865980969612,5.399612373357457,55.0,77.0
baseline_512x512,26,5.259362701322198,7.082608437780561,75.0,101.0
baseline_1024x1024,26,7.012483601762931,7.994231306009741,100.0,114.0
baseline_2048x2048,26,13.954842367508231,13.954842367508231,199.0,199.0
Ours_Large,26,6.802109093710043,9.11622868229181,97.0,130.0
LI,26,6.170985569551379,7.643607125921595,88.0,109.0
baseline_64x64,27,1.4024967203525862,3.716616308934354,20.0,53.00000000000001
baseline_128x128,27,2.8751182767228016,5.11911302928694,41.0,73.0
baseline_256x256,27,4.3477398330930175,7.082608437780561,62.0,101.0
baseline_512x512,27,6.731984257692414,8.064356142027371,96.0,115.0
